date,type,subType,value
20240221-201504,slowHeadTilting,forward,-1
20240221-201505,slowHeadTilting,forward,1
20240221-201507,slowHeadTilting,forward,-1
20240221-201509,slowHeadTilting,forward,1
20240221-201513,slowHeadTilting,forward,-1
20240221-201526,slowHeadTilting,forward,1
20240221-201526,slowHeadTilting,forward,-1
20240221-201542,slowHeadTilting,forward,1
20240221-201542,slowHeadTilting,forward,-1
20240221-201543,slowHeadTilting,forward,1
20240221-201546,slowHeadTilting,forward,-1
20240221-201551,slowHeadTilting,forward,1
20240221-201556,slowHeadTilting,forward,-1
20240221-201558,slowHeadTilting,forward,1
20240221-201558,slowHeadTilting,forward,-1
20240221-201600,slowHeadTilting,right,1

