date,type,subType,value
20240221-202337,slowHeadTilting,forward,1
20240221-202337,slowHeadTilting,forward,-1
20240221-202340,slowHeadTilting,right,1
20240221-202341,slowHeadTilting,right,-1
20240221-202341,slowHeadTilting,right,1
20240221-202341,slowHeadTilting,right,-1
20240221-202342,slowHeadTilting,right,1
20240221-202342,slowHeadTilting,right,-1
20240221-202342,slowHeadTilting,right,1
20240221-202342,slowHeadTilting,right,-1
20240221-202343,slowHeadTilting,right,1
20240221-202344,slowHeadTilting,forward,1
20240221-202350,slowHeadTilting,forward,-1
20240221-202353,slowHeadTilting,right,-1

