date,type,subType,value
20240221-201601,slowHeadTilting,forward,1
20240221-201605,slowHeadTilting,forward,-1
20240221-201605,slowHeadTilting,right,-1
20240221-201608,slowHeadTilting,forward,1
20240221-201608,slowHeadTilting,forward,-1
20240221-201611,slowHeadTilting,left,1
20240221-201612,slowHeadTilting,left,-1
20240221-201612,slowHeadTilting,forward,1
20240221-201612,slowHeadTilting,forward,-1
20240221-201628,slowHeadTilting,forward,1
20240221-201632,slowHeadTilting,forward,-1
20240221-201642,slowHeadTilting,left,1
20240221-201643,slowHeadTilting,left,-1
20240221-201645,slowHeadTilting,backward,1
20240221-201647,slowHeadTilting,backward,-1
20240221-201655,slowHeadTilting,backward,1
20240221-201656,slowHeadTilting,backward,-1

