date,type,subType,value
20240221-204207,slowHeadTilting,backward,1
20240221-204211,slowHeadTilting,backward,-1
20240221-204212,slowHeadTilting,backward,1
20240221-204215,slowHeadTilting,backward,-1
20240221-204217,slowHeadTilting,backward,1
20240221-204217,slowHeadTilting,backward,-1
20240221-204230,slowHeadTilting,backward,1
20240221-204234,slowHeadTilting,backward,-1
20240221-204234,slowHeadTilting,backward,1
20240221-204236,slowHeadTilting,right,1
20240221-204236,slowHeadTilting,right,-1
20240221-204237,slowHeadTilting,backward,-1
20240221-204238,slowHeadTilting,right,1
20240221-204240,slowHeadTilting,right,-1
20240221-204241,slowHeadTilting,backward,1
20240221-204244,slowHeadTilting,backward,-1
20240221-204245,slowHeadTilting,backward,1
20240221-204247,slowHeadTilting,backward,-1
20240221-204247,slowHeadTilting,backward,1
20240221-204249,slowHeadTilting,left,1
20240221-204249,slowHeadTilting,left,-1
20240221-204250,slowHeadTilting,backward,-1
20240221-204252,slowHeadTilting,backward,1
20240221-204253,slowHeadTilting,left,1
20240221-204254,slowHeadTilting,left,-1

