date,type,subType,value
20240221-230603,slowHeadTilting,right,1
20240221-230604,slowHeadTilting,right,-1
20240221-230606,slowHeadTilting,right,1
20240221-230606,slowHeadTilting,right,-1
20240221-230611,slowHeadTilting,right,1
20240221-230614,slowHeadTilting,right,-1
20240221-230618,slowHeadTilting,forward,1
20240221-230620,slowHeadTilting,forward,-1
20240221-230630,slowHeadTilting,forward,1
20240221-230631,slowHeadTilting,forward,-1
20240221-230633,slowHeadTilting,right,1
20240221-230633,slowHeadTilting,right,-1
20240221-230642,slowHeadTilting,right,1
20240221-230643,slowHeadTilting,right,-1
20240221-230643,slowHeadTilting,right,1
20240221-230643,slowHeadTilting,right,-1
20240221-230644,slowHeadTilting,right,1
20240221-230645,slowHeadTilting,right,-1
20240221-230655,slowHeadTilting,forward,1
20240221-230656,slowHeadTilting,forward,-1

