date,type,subType,value
20240221-230500,slowHeadTilting,right,-1
20240221-230501,slowHeadTilting,left,1
20240221-230501,slowHeadTilting,left,-1
20240221-230502,slowHeadTilting,right,1
20240221-230505,slowHeadTilting,right,-1
20240221-230509,slowHeadTilting,right,1
20240221-230516,slowHeadTilting,right,-1
20240221-230516,slowHeadTilting,right,1
20240221-230517,slowHeadTilting,right,-1
20240221-230522,slowHeadTilting,forward,1
20240221-230523,slowHeadTilting,forward,-1
20240221-230528,slowHeadTilting,right,1
20240221-230528,slowHeadTilting,right,-1
20240221-230530,slowHeadTilting,right,1
20240221-230530,slowHeadTilting,right,-1
20240221-230536,slowHeadTilting,right,1
20240221-230536,slowHeadTilting,right,-1
20240221-230537,slowHeadTilting,right,1
20240221-230538,slowHeadTilting,right,-1
20240221-230538,slowHeadTilting,right,1
20240221-230538,slowHeadTilting,right,-1
20240221-230540,slowHeadTilting,right,1
20240221-230541,slowHeadTilting,right,-1
20240221-230546,slowHeadTilting,right,1
20240221-230547,slowHeadTilting,right,-1

