date,type,subType,value
20240221-225903,slowHeadTilting,right,1
20240221-225904,slowHeadTilting,right,-1
20240221-225906,slowHeadTilting,right,1
20240221-225908,slowHeadTilting,right,-1
20240221-225909,slowHeadTilting,right,1
20240221-225912,slowHeadTilting,right,-1
20240221-225924,slowHeadTilting,right,1
20240221-225926,slowHeadTilting,right,-1
20240221-225926,slowHeadTilting,forward,1
20240221-225926,slowHeadTilting,forward,-1
20240221-225928,slowHeadTilting,forward,1
20240221-225928,slowHeadTilting,forward,-1
20240221-225928,slowHeadTilting,forward,1
20240221-225928,slowHeadTilting,forward,-1
20240221-225930,slowHeadTilting,right,1
20240221-225931,slowHeadTilting,right,-1
20240221-225931,slowHeadTilting,forward,1
20240221-225934,slowHeadTilting,forward,-1
20240221-225936,slowHeadTilting,forward,1
20240221-225937,slowHeadTilting,forward,-1
20240221-225939,slowHeadTilting,right,1
20240221-225952,slowHeadTilting,right,-1
20240221-225952,slowHeadTilting,right,1
20240221-225953,slowHeadTilting,right,-1
20240221-225955,slowHeadTilting,left,1
20240221-225955,slowHeadTilting,left,-1
20240221-225956,slowHeadTilting,backward,1
20240221-225956,slowHeadTilting,backward,-1

