date,type,subType,value
20240221-230300,slowHeadTilting,right,-1
20240221-230302,slowHeadTilting,right,1
20240221-230304,slowHeadTilting,right,-1
20240221-230307,slowHeadTilting,right,1
20240221-230309,slowHeadTilting,right,-1
20240221-230315,slowHeadTilting,right,1
20240221-230316,slowHeadTilting,right,-1
20240221-230317,slowHeadTilting,right,1
20240221-230318,slowHeadTilting,right,-1
20240221-230323,slowHeadTilting,right,1
20240221-230326,slowHeadTilting,right,-1
20240221-230340,slowHeadTilting,right,1
20240221-230340,slowHeadTilting,right,-1
20240221-230355,slowHeadTilting,right,1
20240221-230356,slowHeadTilting,forward,1
20240221-230357,slowHeadTilting,forward,-1
20240221-230357,slowHeadTilting,right,-1

