date,type,subType,value
20240221-230012,slowHeadTilting,right,1
20240221-230034,slowHeadTilting,right,-1
20240221-230036,slowHeadTilting,right,1
20240221-230037,slowHeadTilting,right,-1
20240221-230039,slowHeadTilting,right,1
20240221-230042,slowHeadTilting,right,-1
20240221-230043,slowHeadTilting,right,1
20240221-230043,slowHeadTilting,right,-1
20240221-230043,slowHeadTilting,right,1
20240221-230043,slowHeadTilting,right,-1
20240221-230045,slowHeadTilting,right,1
20240221-230046,slowHeadTilting,right,-1
20240221-230047,slowHeadTilting,right,1
20240221-230058,slowHeadTilting,right,-1

