,1,2,3,4,5,6,7,8,9,10,accuracy,macro avg,weighted avg
precision,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.22448979591836735,0.22333333333333333,0.227891156462585
recall,0.0,0.0,0.2,0.0,0.0,0.0,0.8,0.2,0.4,0.6,0.22448979591836735,0.22000000000000003,0.22448979591836735
f1-score,0.0,0.0,0.1,0.0,0.0,0.0,0.47058823529411764,0.25,0.4444444444444445,0.7499999999999999,0.22448979591836735,0.2015032679738562,0.20561557956515938
support,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0.22448979591836735,49.0,49.0
