Target,HeartRate
40,69
45,99
50,52
55,56
60,60
65,64
70,69
75,75
80,79
85,84
90,89
95,95
100,99
105,105
110,110
115,114
120,119
125,124
130,130
135,135
140,140
145,146
150,150
155,155
160,159
165,166
170,170
175,175
180,179
185,185
190,190
195,196
200,200
