date,type,subType,value
20240221-210305,slowHeadTilting,forward,1
20240221-210306,slowHeadTilting,forward,-1
20240221-210311,slowHeadTilting,forward,1
20240221-210312,slowHeadTilting,forward,-1
20240221-210319,slowHeadTilting,forward,1
20240221-210319,slowHeadTilting,forward,-1
20240221-210325,slowHeadTilting,forward,1
20240221-210326,slowHeadTilting,forward,-1
20240221-210339,slowHeadTilting,right,1
20240221-210340,slowHeadTilting,right,-1
20240221-210340,slowHeadTilting,right,1
20240221-210340,slowHeadTilting,right,-1
20240221-210341,slowHeadTilting,right,1
20240221-210343,slowHeadTilting,right,-1
20240221-210344,slowHeadTilting,forward,1
20240221-210346,slowHeadTilting,forward,-1
20240221-210351,slowHeadTilting,right,1
20240221-210352,slowHeadTilting,right,-1
20240221-210354,slowHeadTilting,right,1
20240221-210356,slowHeadTilting,right,-1

