date,type,subType,value
20240221-230104,slowHeadTilting,forward,1
20240221-230104,slowHeadRotation,anticlockwise,1
20240221-230105,slowHeadTilting,right,1
20240221-230105,slowHeadTilting,forward,-1
20240221-230107,slowHeadTilting,right,-1
20240221-230110,slowHeadTilting,right,1
20240221-230110,slowHeadTilting,right,-1
20240221-230110,slowHeadTilting,right,1
20240221-230118,slowHeadTilting,right,-1
20240221-230119,slowHeadTilting,forward,1
20240221-230119,slowHeadTilting,forward,-1
20240221-230123,slowHeadTilting,forward,1
20240221-230127,slowHeadTilting,right,1
20240221-230143,slowHeadTilting,right,-1
20240221-230144,slowHeadTilting,forward,-1
20240221-230145,slowHeadTilting,right,1
20240221-230145,slowHeadTilting,right,-1
20240221-230146,slowHeadTilting,forward,1
20240221-230146,slowHeadTilting,right,1
20240221-230147,slowHeadTilting,forward,-1
20240221-230147,slowHeadTilting,right,-1
20240221-230147,slowHeadTilting,forward,1
20240221-230149,slowHeadTilting,forward,-1

