date,type,subType,value
20240221-230712,slowHeadTilting,right,1
20240221-230713,slowHeadTilting,right,-1
20240221-230718,slowHeadTilting,forward,1
20240221-230718,slowHeadTilting,forward,-1
20240221-230731,slowHeadTilting,right,1
20240221-230738,slowHeadTilting,right,-1
20240221-230741,slowHeadTilting,right,1
20240221-230749,slowHeadTilting,right,-1
20240221-230751,slowHeadTilting,forward,1
20240221-230752,slowHeadTilting,forward,-1
20240221-230756,slowHeadTilting,forward,1
20240221-230758,slowHeadTilting,forward,-1

