ard_micro,pulse
4.843892,402
4.854516,392
4.865156,383
4.87578,378
4.886424,375
4.897068,372
4.907696,371
4.918332,373
4.928956,377
4.939592,382
4.950236,389
4.960876,394
4.971512,399
4.982144,404
4.99278,409
5.00342,414
5.014044,416
5.024688,419
5.035332,423
5.045972,425
5.056612,427
5.067236,426
5.07788,426
5.088524,427
5.099152,427
5.109788,427
5.120428,426
5.131064,424
5.141692,425
5.152316,424
5.162952,426
5.173596,425
5.18422,427
5.19486,424
5.205484,424
5.21612,424
5.226748,421
5.237372,423
5.248012,428
5.258644,442
5.26928,475
5.279912,527
5.290548,605
5.301188,701
5.311828,808
5.322468,911
5.333108,970
5.343736,970
5.354376,970
5.36502,970
5.375648,970
5.386284,970
5.396908,970
5.407544,895
5.418188,823
5.428816,754
5.439436,689
5.450076,633
5.4607,587
5.47134,553
5.481972,530
5.492612,513
5.503252,499
5.513892,485
5.524516,470
5.53514,456
5.545788,443
5.556428,431
5.567052,419
5.577692,414
5.588332,412
5.598956,414
5.609588,419
5.620228,426
5.630864,434
5.641508,445
5.652132,454
5.662772,461
5.673404,462
5.68404,462
5.694668,461
5.705308,456
5.715932,447
5.726572,437
5.737212,426
5.747852,416
5.758476,407
5.76912,399
5.779764,392
5.790392,386
5.801028,383
5.81166,382
5.822296,382
5.83294,384
5.843564,388
5.854188,392
5.864828,398
5.875452,405
5.886084,409
5.896724,414
5.90736,420
5.917988,423
5.928628,426
5.939268,427
5.9499,428
5.960536,430
5.97118,431
5.98182,432
5.99246,430
6.003084,430
6.013728,430
6.024372,432
6.034996,431
6.04564,430
6.056284,428
6.066908,426
6.077548,426
6.088188,425
6.098824,423
6.109468,422
6.120096,422
6.130732,430
6.141372,449
6.152016,485
6.162644,544
6.173268,623
6.183908,719
6.194548,823
6.205188,918
6.215828,970
6.226468,970
6.237104,970
6.247748,971
6.258372,971
6.269012,945
6.279636,881
6.290272,810
6.300916,737
6.31154,670
6.322176,610
6.332804,561
6.343436,526
6.354072,500
6.364708,482
6.375352,471
6.385996,457
6.396636,448
6.407276,440
6.4179,432
6.42854,428
6.43918,426
6.449808,426
6.460444,434
6.471068,442
6.481712,453
6.492356,466
6.50298,476
6.51362,486
6.52426,493
6.534884,495
6.545524,494
6.556148,490
6.566784,483
6.57742,473
6.588052,459
6.59868,446
6.6093,432
6.61994,419
6.63058,408
6.641204,399
6.65184,391
6.662484,386
6.673116,383
6.683756,385
6.69438,386
6.705024,389
6.715668,393
6.726296,399
6.736916,402
6.74754,407
6.758176,410
6.76882,414
6.779452,419
6.790088,422
6.800732,425
6.811364,428
6.822004,429
6.832636,432
6.843272,434
6.853916,436
6.864544,436
6.87518,437
6.88582,436
6.89646,435
6.9071,433
6.917724,430
6.92836,427
6.938996,425
6.94962,423
6.96026,429
6.970884,442
6.98152,472
6.992164,525
7.002788,601
7.013428,697
7.024068,801
7.034704,903
7.045348,970
7.05598,970
7.066604,970
7.077244,970
7.087872,971
7.0985,970
7.10914,935
7.11978,866
7.13042,796
7.141044,726
7.151684,662
7.162324,610
7.172972,569
7.183612,538
7.19424,516
7.204876,498
7.2155,483
7.226144,471
7.236788,457
7.247412,444
7.258048,431
7.268692,420
7.279316,414
7.289956,412
7.300584,412
7.311224,418
7.321868,427
7.3325,438
7.343128,448
7.353764,459
7.3644,467
7.375044,471
7.385676,473
7.3963,471
7.40694,465
7.417564,454
7.428204,445
7.438828,433
7.449472,422
7.460116,412
7.47074,401
7.48138,392
7.492008,387
7.502648,384
7.513292,382
7.523932,382
7.534576,383
7.545204,386
7.555844,390
7.566484,394
7.577112,400
7.587752,405
7.598396,409
7.609036,414
7.619676,418
7.6303,420
7.640944,422
7.651588,425
7.662228,427
7.672868,428
7.683508,428
7.694144,427
7.704788,428
7.715412,428
7.726052,429
7.736684,429
7.747324,430
7.757964,430
7.768604,429
7.779248,429
7.789892,428
7.800516,426
7.811156,425
7.821796,423
7.83244,426
7.843084,435
7.853708,462
7.86434,508
7.874972,583
7.885612,677
7.896252,788
7.90688,899
7.917524,970
7.928164,970
7.938792,971
7.949428,970
7.960052,971
7.9707,970
7.98134,971
7.99198,954
8.00262,881
8.013244,808
8.02388,740
8.034524,682
8.045148,635
8.055772,596
8.066412,566
8.07704,546
8.087676,527
8.098316,509
8.108952,490
8.119596,468
8.130236,449
8.140876,433
8.151504,418
8.162144,409
8.172788,404
8.183428,406
8.194068,414
8.2047,426
8.215336,438
8.225964,452
8.236596,460
8.247232,468
8.257864,472
8.268488,470
8.279124,468
8.289748,458
8.300388,447
8.311028,436
8.321656,422
8.332288,410
8.342924,396
8.353552,387
8.36418,380
8.374812,375
8.385448,372
8.39608,372
8.406716,371
8.417356,374
8.427984,378
8.438624,382
8.449268,387
8.459892,392
8.470516,398
8.481156,403
8.491784,408
8.50242,411
8.513044,414
8.52368,416
8.534324,417
8.544948,419
8.555588,419
8.566212,419
8.576848,420
8.58748,420
8.598116,420
8.60874,420
8.61938,421
8.630004,422
8.640644,423
8.651276,422
8.661912,422
8.672556,422
8.68318,422
8.69382,422
