,1,2,3,4,5,6,7,8,9,10,accuracy,macro avg,weighted avg
precision,0.0,0.0,0.0,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.06,0.11111111111111112,0.1111111111111111
recall,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.06,0.06000000000000001,0.06
f1-score,0.0,0.0,0.0,0.0,0.1739130434782609,0.33333333333333337,0.0,0.0,0.0,0.0,0.06,0.050724637681159424,0.05072463768115943
support,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.06,50.0,50.0
