,1,2,3,4,5,6,7,8,9,10,accuracy,macro avg,weighted avg
precision,0.3333333333333333,0.0,0.0,0.25,0.0,0.0,0.1,0.2727272727272727,0.0,0.3333333333333333,0.20408163265306123,0.12893939393939394,0.13157081014223873
recall,0.2,0.0,0.0,0.4,0.0,0.0,0.2,0.6,0.0,0.6,0.20408163265306123,0.2,0.20408163265306123
f1-score,0.25,0.0,0.0,0.3076923076923077,0.0,0.0,0.13333333333333333,0.37499999999999994,0.0,0.42857142857142855,0.20408163265306123,0.14945970695970695,0.15250990506092543
support,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0.20408163265306123,49.0,49.0
