KeDei 1回目
2021/05/27 15:44:14,130,60
2021/05/27 15:46:33,130,65
2021/05/27 15:48:55,130,70
2021/05/27 15:51:15,130,75
2021/05/27 15:53:38,130,80
2021/05/27 15:55:58,130,85
2021/05/27 15:58:17,130,90
2021/05/27 16:00:39,130,95
2021/05/27 16:02:59,130,100
KeDei 2回目
2021/05/27 16:07:04,130,60
2021/05/27 16:09:25,130,65
2021/05/27 16:11:45,130,70
2021/05/27 16:14:03,130,75
2021/05/27 16:16:22,130,80
2021/05/27 16:18:43,130,85
2021/05/27 16:21:02,130,90
2021/05/27 16:23:21,130,95
2021/05/27 16:25:40,130,100
KeDei 3回目
2021/05/27 16:31:26,130,60
2021/05/27 16:33:44,130,65
2021/05/27 16:36:02,130,70
2021/05/27 16:38:23,130,75
2021/05/27 16:40:45,130,80
2021/05/27 16:43:04,130,85
2021/05/27 16:45:23,130,90
2021/05/27 16:47:43,130,95
2021/05/27 16:50:04,130,100
