date,type,subType,value
20240221-214004,slowHeadTilting,right,1
20240221-214005,slowHeadTilting,right,-1
20240221-214051,slowHeadTilting,left,1
20240221-214051,slowHeadTilting,left,-1
20240221-214052,slowHeadTilting,left,1
20240221-214053,slowHeadTilting,left,-1

