,1,2,3,4,5,6,7,8,9,10,accuracy,macro avg,weighted avg
precision,0.5,0.75,0.3333333333333333,1.0,1.0,1.0,0.625,1.0,1.0,0.5555555555555556,0.6530612244897959,0.7763888888888888,0.7718253968253967
recall,0.6,0.6,0.6,0.4,0.6,1.0,1.0,0.4,0.4,1.0,0.6530612244897959,0.66,0.6530612244897959
f1-score,0.5454545454545454,0.6666666666666665,0.42857142857142855,0.5714285714285715,0.7499999999999999,1.0,0.7692307692307693,0.5714285714285715,0.5714285714285715,0.7142857142857143,0.6530612244897959,0.6588494838494838,0.6518872284178406
support,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0.6530612244897959,49.0,49.0
