id,date,eyeMoveUp,eyeMoveDown,eyeMoveLeft,eyeMoveRight,blinkSpeed,blinkStrength,walking,roll,pitch,yaw,accX,accY,accZ,fitError,powerLeft,noiseStatus,sequenceNumber
0,2024-02-18T22:01:59.374+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,0.5,4.0625,-16.0625,0,5,false,101
1,2024-02-18T22:01:59.403+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,0.375,4.1875,-16.0,0,5,false,102
2,2024-02-18T22:01:59.494+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,0.375,4.3125,-16.0,0,5,false,103
3,2024-02-18T22:01:59.523+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,0.625,4.25,-15.5625,0,5,false,104
4,2024-02-18T22:01:59.553+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,1.0625,4.25,-15.4375,0,5,false,105
5,2024-02-18T22:01:59.613+0900,0,0,6,0,0,0,false,0.0,0.0,0.0,0.9375,4.125,-15.8125,0,5,false,106
6,2024-02-18T22:01:59.673+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,0.375,4.25,-16.1875,0,5,false,107
7,2024-02-18T22:01:59.704+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,0.0,4.4375,-16.1875,0,5,false,108
8,2024-02-18T22:01:59.763+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,0.3125,4.1875,-16.125,0,5,false,109
9,2024-02-18T22:01:59.823+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,0.9375,3.8125,-15.6875,0,5,false,110
10,2024-02-18T22:01:59.854+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,1.125,3.375,-15.5625,0,5,false,111
11,2024-02-18T22:01:59.913+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,0.8125,3.5625,-15.625,0,5,false,112
12,2024-02-18T22:01:59.973+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,0.125,4.0,-15.5,0,5,false,113
13,2024-02-18T22:02:00.002+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,-0.0625,4.125,-16.3125,0,5,false,114
14,2024-02-18T22:02:00.063+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,0.25,3.8125,-15.9375,0,5,false,115
15,2024-02-18T22:02:00.124+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,0.9375,3.4375,-15.75,0,5,false,116
16,2024-02-18T22:02:00.212+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,0.75,3.375,-15.6875,0,5,false,117
17,2024-02-18T22:02:00.214+0900,0,0,0,0,0,0,false,0.0,0.0,0.0,0.375,3.75,-15.5625,0,5,false,118
