date,type,subType,value
20240221-225616,slowHeadTilting,forward,1
20240221-225618,slowHeadTilting,right,1
20240221-225618,slowHeadTilting,forward,-1
20240221-225618,slowHeadTilting,right,-1
20240221-225621,slowHeadTilting,forward,1
20240221-225622,slowHeadTilting,forward,-1
20240221-225622,slowHeadTilting,right,1
20240221-225626,slowHeadTilting,right,-1
20240221-225626,slowHeadTilting,right,1
20240221-225626,slowHeadTilting,right,-1
20240221-225627,slowHeadTilting,right,1
20240221-225627,slowHeadTilting,right,-1
20240221-225627,slowHeadTilting,right,1
20240221-225627,slowHeadTilting,right,-1
20240221-225628,slowHeadTilting,right,1
20240221-225628,slowHeadTilting,right,-1
20240221-225635,slowHeadTilting,forward,1
20240221-225636,slowHeadTilting,forward,-1
20240221-225640,slowHeadTilting,right,1
20240221-225642,slowHeadTilting,forward,1
20240221-225642,slowHeadTilting,forward,-1
20240221-225643,slowHeadTilting,right,-1
20240221-225643,slowHeadTilting,forward,1
20240221-225644,slowHeadTilting,forward,-1
20240221-225647,slowHeadTilting,right,1
20240221-225648,slowHeadTilting,right,-1
20240221-225648,slowHeadTilting,right,1
20240221-225648,slowHeadTilting,right,-1
20240221-225650,slowHeadTilting,right,1
20240221-225653,slowHeadTilting,right,-1
20240221-225655,slowHeadTilting,forward,1
20240221-225656,slowHeadTilting,forward,-1

