date,type,subType,value
20240221-231203,slowHeadTilting,forward,1
20240221-231204,slowHeadTilting,forward,-1
20240221-231211,slowHeadTilting,forward,1
20240221-231212,slowHeadTilting,forward,-1
20240221-231214,slowHeadTilting,forward,1
20240221-231214,slowHeadTilting,left,1
20240221-231214,slowHeadTilting,forward,-1
20240221-231214,slowHeadTilting,left,-1
20240221-231222,slowHeadTilting,forward,1
20240221-231223,slowHeadTilting,left,1
20240221-231224,slowHeadTilting,left,-1
20240221-231224,slowHeadTilting,forward,-1
20240221-231225,slowHeadTilting,forward,1
20240221-231226,slowHeadTilting,forward,-1
20240221-231232,slowHeadTilting,forward,1
20240221-231233,slowHeadTilting,forward,-1
20240221-231250,slowHeadTilting,forward,1
20240221-231252,slowHeadTilting,forward,-1
20240221-231254,slowHeadTilting,forward,1
20240221-231255,slowHeadTilting,forward,-1
20240221-231256,slowHeadTilting,forward,1
20240221-231257,slowHeadTilting,forward,-1
20240221-231257,slowHeadTilting,forward,1
20240221-231258,slowHeadTilting,forward,-1

