Epoch,D Loss,G Loss
1000,4.996297866455279e-05,21.57794189453125
2000,0.00011606629414018244,16.124528884887695
3000,4.2390158341731876e-05,18.18361473083496
4000,1.2958691513631493e-05,19.84624671936035
5000,7.616741640958935e-06,21.86914825439453
6000,2.4951550585683435e-06,23.455869674682617
7000,1.2684871535384445e-06,25.618452072143555
8000,5.056594091001898e-06,27.29986000061035
9000,1.931133226662496e-07,34.33241653442383
10000,2.0027123071031383e-08,33.481353759765625
11000,4.768337547034207e-08,44.786582946777344
12000,1.623577077225491e-07,44.468753814697266
13000,1.4305095774602705e-08,45.124603271484375
14000,3.5762763861413305e-09,44.96721649169922
15000,2.0503934550220038e-08,44.98994445800781
16000,7.152556880107852e-10,44.40663528442383
17000,1.001356597640779e-08,45.44436264038086
18000,6.6757142036522055e-09,47.629669189453125
19000,0.0,55.44498825073242
20000,2.3841856267026174e-10,55.33753204345703
21000,4.768371253405235e-10,55.34731674194336
22000,2.3841856267026174e-10,56.9859733581543
23000,2.3841856267026174e-10,57.987056732177734
24000,0.0,60.3395881652832
25000,4.4249529196349613e-07,29.31032943725586
26000,1.177757269488211e-07,35.17213439941406
27000,1.4781911694683458e-08,35.884273529052734
28000,7.724649009333007e-08,43.23902130126953
29000,2.3531215731509292e-07,43.66385269165039
30000,3.2424715357137757e-08,43.395389556884766
31000,1.7642964422748264e-08,43.52448654174805
32000,1.5735603042799085e-08,43.77898025512695
33000,7.867805074113221e-09,46.43404006958008
34000,4.768369699093e-09,45.78369140625
35000,9.53674250681047e-10,46.695556640625
36000,1.4305111539769655e-09,49.32663345336914
37000,4.768371253405235e-10,50.99273681640625
38000,7.15255632499634e-10,57.20804214477539
39000,0.0,85.13977813720703
40000,0.0,85.24456787109375
41000,0.0,87.3158187866211
42000,0.0,86.01203155517578
43000,1.7825700524554122e-06,24.550527572631836
44000,1.411408163676242e-07,26.242399215698242
45000,2.4938177034528053e-07,27.095333099365234
46000,3.385529367960771e-08,30.29288673400879
47000,2.887140908569563e-07,30.362794876098633
48000,1.2636161450529926e-08,31.124256134033203
49000,7.390899270376394e-08,32.194664001464844
50000,2.5033886075220835e-08,40.32221221923828
51000,1.2159327766880779e-08,41.576995849609375
52000,3.576262486149062e-08,41.70665740966797
53000,1.7404534702336605e-08,46.18870544433594
54000,1.1343618098180741e-06,24.5850772857666
55000,5.865077667976948e-08,26.70455551147461
56000,1.2196691159260808e-06,28.552093505859375
57000,6.890273596127372e-08,30.170557022094727
58000,1.931187654236055e-08,33.5747184753418
59000,1.3286263538248022e-06,35.29222106933594
60000,1.4066650066979491e-08,37.863922119140625
61000,6.604093272244427e-08,38.790283203125
62000,5.48362333319119e-09,39.82251739501953
63000,3.3378577679599175e-09,39.15635681152344
64000,3.3378577679599175e-09,40.03618621826172
65000,5.245202494563728e-09,40.59339904785156
66000,9.536741396587445e-10,40.08931350708008
67000,9.53674250681047e-10,41.5059928894043
68000,7.152556880107852e-10,42.95113754272461
69000,0.0,51.03046417236328
70000,0.0,55.24169921875
71000,2.3841856267026174e-10,60.6537971496582
72000,0.0,63.416507720947266
73000,0.0,63.55461120605469
74000,0.0,62.64936065673828
75000,0.0,71.14856719970703
76000,0.0,73.27125549316406
77000,0.0,73.38372039794922
78000,0.0,73.25633239746094
79000,0.0,73.9902572631836
80000,0.0,73.581298828125
81000,0.0,74.36664581298828
82000,0.0,72.92571258544922
83000,0.0,74.51972961425781
84000,0.0,74.10733795166016
85000,0.0,73.74334716796875
86000,0.0,75.68080139160156
87000,0.0,94.88455200195312
88000,0.0,56.69713592529297
89000,2.3841856267026174e-10,57.00608825683594
90000,2.3841856267026174e-10,57.96713638305664
91000,2.884844185757629e-08,57.53368377685547
92000,2.384184627501895e-09,57.810585021972656
93000,0.0,57.64883041381836
94000,0.0,57.45427703857422
95000,9.536741396587445e-10,57.73236846923828
96000,9.536741396587445e-10,59.02867126464844
97000,0.0,63.99115753173828
98000,1.668929439091471e-09,67.79705047607422
99000,0.0,75.27332305908203
100000,7.152556880107852e-10,73.37118530273438
