date,type,subType,value
20240221-201424,slowHeadTilting,left,1
20240221-201427,slowHeadTilting,left,-1
20240221-201427,slowHeadTilting,left,1
20240221-201427,slowHeadTilting,left,-1
20240221-201431,slowHeadTilting,forward,1
20240221-201432,slowHeadTilting,forward,-1
20240221-201432,slowHeadTilting,forward,1
20240221-201433,slowHeadTilting,forward,-1
20240221-201438,slowHeadTilting,right,1
20240221-201439,slowHeadTilting,forward,1
20240221-201439,slowHeadTilting,right,-1
20240221-201443,slowHeadTilting,left,1
20240221-201443,slowHeadTilting,left,-1
20240221-201447,slowHeadTilting,forward,-1
20240221-201449,slowHeadTilting,backward,1
20240221-201449,slowHeadTilting,right,1
20240221-201449,slowHeadTilting,right,-1
20240221-201454,slowHeadTilting,right,1
20240221-201454,slowHeadTilting,right,-1
20240221-201454,slowHeadTilting,right,1
20240221-201454,slowHeadTilting,right,-1
20240221-201454,slowHeadTilting,right,1
20240221-201456,slowHeadTilting,backward,-1
20240221-201457,slowHeadTilting,right,-1
20240221-201457,slowHeadTilting,right,1
20240221-201458,slowHeadTilting,right,-1
20240221-201458,slowHeadTilting,right,1
20240221-201458,slowHeadTilting,backward,1
20240221-201458,slowHeadTilting,backward,-1
20240221-201500,slowHeadTilting,forward,1
20240221-201500,slowHeadRotation,anticlockwise,1
20240221-201500,slowHeadTilting,right,-1

