device_time_stamp,system_time_stamp,left_gaze_point_on_display_area_1,left_gaze_point_on_display_area_2,left_gaze_point_in_user_coordinate_system_1,left_gaze_point_in_user_coordinate_system_2,left_gaze_point_in_user_coordinate_system_3,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system_1,left_gaze_origin_in_user_coordinate_system_2,left_gaze_origin_in_user_coordinate_system_3,left_gaze_origin_in_trackbox_coordinate_system_1,left_gaze_origin_in_trackbox_coordinate_system_2,left_gaze_origin_in_trackbox_coordinate_system_3,left_gaze_origin_validity,right_gaze_point_on_display_area_1,right_gaze_point_on_display_area_2,right_gaze_point_in_user_coordinate_system_1,right_gaze_point_in_user_coordinate_system_2,right_gaze_point_in_user_coordinate_system_3,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system_1,right_gaze_origin_in_user_coordinate_system_2,right_gaze_origin_in_user_coordinate_system_3,right_gaze_origin_in_trackbox_coordinate_system_1,right_gaze_origin_in_trackbox_coordinate_system_2,right_gaze_origin_in_trackbox_coordinate_system_3,right_gaze_origin_validity
7438238357,106557771026,0.8568935394287109,-0.1059272512793541,197.00523376464844,342.3457336425781,117.76659393310547,1,7.1180267333984375,1,-41.23460388183594,-155.21653747558594,583.131591796875,0.5939397215843201,0.8542275428771973,0.40968579053878784,1,0.8922151327133179,0.05127166211605072,216.50277709960938,296.4790954589844,101.07246398925781,1,7.112213134765625,1,36.66487121582031,-158.85972595214844,582.45068359375,0.4159514605998993,0.8629711866378784,0.4096768796443939,1
7438254887,106557787563,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
7438271527,106557804212,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
7438288277,106557820967,0.8518298864364624,-0.08121666312217712,194.2100830078125,335.13580322265625,115.14241790771484,1,7.08154296875,1,-42.35214614868164,-155.44163513183594,582.9906616210938,0.5965150594711304,0.854827344417572,0.4096842110157013,1,0.8816315531730652,0.04630713537335396,210.66065979003906,297.92755126953125,101.59979248046875,1,7.089996337890625,1,35.39360809326172,-159.04051208496094,582.4810791015625,0.41886210441589355,0.8633654713630676,0.40967896580696106,1
7438304807,106557837497,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
7438321447,106557854137,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
7438338197,106557870884,0.8509952425956726,-0.08359982073307037,193.74937438964844,335.8311462402344,115.3955078125,1,7.0701751708984375,1,-43.79356384277344,-155.5469207763672,582.8550415039062,0.5998307466506958,0.8551505208015442,0.40968212485313416,1,0.8862641453742981,0.04854758828878403,213.2178192138672,297.27386474609375,101.36180877685547,1,7.06414794921875,1,33.70994567871094,-158.9510498046875,582.6012573242188,0.422727108001709,0.8630860447883606,0.40967100858688354,1
7438354727,106557887410,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
7438371367,106557904046,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,0
7438388117,106557920796,0.8460386991500854,-0.0681309849023819,191.0133819580078,331.3177185058594,113.75271606445312,1,7.0197296142578125,1,-45.38331985473633,-155.74476623535156,582.6793212890625,0.6034941077232361,0.8557097911834717,0.4096798002719879,1,0.8871604800224304,0.04788193106651306,213.7125701904297,297.46807861328125,101.4325180053711,1,7.0560150146484375,1,31.81071662902832,-158.9569091796875,582.706787109375,0.42708125710487366,0.8630335927009583,0.40967175364494324,1
