ard_micro,pulse
8e-06,446
0.010444,431
0.02098,460
0.031524,523
0.042068,611
0.052604,710
0.06314,808
0.073676,895
0.08422,959
0.094756,973
0.1053,973
0.115884,973
0.126468,973
0.137064,945
0.147652,879
0.158236,805
0.168832,720
0.17942,633
0.190004,555
0.200604,477
0.211188,410
0.221772,355
0.232372,312
0.242956,291
0.25354,281
0.264136,289
0.274724,312
0.285308,347
0.295896,390
0.306484,439
0.317068,486
0.327652,530
0.338244,570
0.348828,596
0.359412,616
0.369996,627
0.38058,622
0.391164,614
0.401748,592
0.412332,566
0.422924,540
0.4335,512
0.444084,488
0.454668,464
0.465252,442
0.475836,426
0.48642,414
0.497004,408
0.507588,408
0.518172,409
0.528756,412
0.53934,421
0.549924,431
0.560508,443
0.571092,457
0.581676,466
0.59226,479
0.602848,492
0.613444,501
0.624028,512
0.634612,515
0.645212,518
0.655796,520
0.66638,516
0.676964,514
0.687552,506
0.698144,497
0.708732,489
0.719316,479
0.729916,467
0.7405,463
0.751084,459
0.76168,455
0.772268,461
0.782852,473
0.793452,505
0.804036,559
0.814624,624
0.82522,703
0.835804,781
0.846388,851
0.856984,915
0.867572,950
0.878156,964
0.888752,954
0.899344,921
0.909924,873
0.920524,813
0.931108,742
0.941692,669
0.95228,595
0.962868,517
0.973452,451
0.984036,391
0.99462,339
1.005204,301
1.015836,271
1.026464,262
1.037096,271
1.047724,289
1.058356,325
1.068992,365
1.07962,407
1.090244,455
1.100884,496
1.111516,531
1.122156,555
1.132796,566
1.143424,570
1.154044,567
1.164684,554
1.175324,535
1.185964,510
1.196588,482
1.207224,460
1.217852,435
1.228476,408
1.239116,391
1.249748,374
1.260384,366
1.271028,365
1.281656,362
1.292288,367
1.302924,378
1.313548,387
1.324188,404
1.33482,415
1.345456,428
1.356084,442
1.366708,449
1.377348,462
1.38798,472
1.39862,478
1.40926,481
1.419884,485
1.430508,487
1.441148,488
1.45178,487
1.46242,478
1.473052,474
1.483692,466
1.494332,455
1.504956,449
1.515596,438
1.52622,431
1.536856,431
1.547484,428
1.558108,442
1.568732,465
1.579372,508
1.59,579
1.600636,658
1.611268,742
1.621908,820
1.632548,883
1.643172,931
1.653804,956
1.664436,953
1.675076,929
1.685716,884
1.696348,825
1.70698,755
1.71762,679
1.728244,597
1.738884,521
1.749508,449
1.760148,383
1.770788,328
1.781412,279
1.792036,248
1.802668,239
1.813308,241
1.823948,264
1.83458,297
1.845204,340
1.855844,393
1.866472,437
1.877108,482
1.887732,522
1.898372,552
1.909012,573
1.919636,585
1.930264,584
1.940884,573
1.951524,554
1.962164,528
1.972792,503
1.983424,476
1.994068,447
2.004692,426
2.015332,405
2.025956,392
2.036596,387
2.047236,379
2.057864,381
2.068488,387
2.079124,393
2.089764,407
2.100404,418
2.111036,428
2.121672,437
2.1323,445
2.142924,454
2.153564,460
2.164188,461
2.174824,461
2.185456,463
2.19608,464
2.2067,465
2.21734,462
2.227968,455
2.238604,452
2.249228,445
2.259864,437
2.270496,432
2.281116,420
2.29174,416
2.302364,416
2.313008,416
2.323636,434
2.33426,464
2.344904,515
2.355548,591
2.366176,672
2.376812,758
2.387444,838
2.39808,899
2.408724,945
2.419356,965
2.42998,958
2.44062,929
2.451256,880
2.4619,815
2.472532,741
2.483164,662
2.493804,581
2.504436,510
2.515076,444
2.5257,387
2.536348,340
2.546988,302
2.557616,281
2.568252,282
2.578884,288
2.58952,318
2.600152,350
2.610776,390
2.621416,439
2.632044,479
2.642676,517
2.653316,549
2.663948,569
2.674588,582
2.685228,585
2.695852,575
2.706484,557
2.717116,529
2.727752,497
2.738384,468
2.74902,437
2.759656,407
2.770284,386
2.780908,364
2.791548,353
2.802176,349
2.812808,342
2.82344,349
2.83406,357
2.844684,369
2.855308,388
2.865936,403
2.876564,417
2.887188,432
2.897824,443
2.908468,458
2.919092,470
2.929732,480
2.940356,491
2.950992,497
2.961636,498
2.972268,498
2.9829,491
2.99354,478
3.004164,470
3.014804,459
3.025428,449
3.036072,441
3.046716,429
3.05734,423
3.06798,421
3.07862,417
3.089256,422
3.0999,424
3.110524,435
3.121148,464
3.131788,505
3.142412,568
3.153052,651
3.16368,740
3.17432,837
3.184964,923
3.195592,973
3.206228,973
3.216852,973
3.227492,973
3.238132,973
3.24876,972
3.25938,896
3.27002,815
3.280644,728
3.291284,642
3.301916,565
3.312552,489
3.323196,427
3.333824,378
3.34446,336
3.355092,315
3.365732,301
3.376372,306
3.387004,328
3.397632,356
3.408268,395
3.418908,435
3.429548,473
3.440172,516
3.450812,547
3.461452,571
3.47208,587
3.482716,591
3.493344,585
3.50398,576
3.51462,557
3.525248,531
3.535868,505
3.546508,475
3.557132,451
3.567772,431
3.578396,408
3.58904,395
3.599672,386
3.610308,383
3.620948,393
3.63158,400
3.642216,413
3.65286,430
3.663492,445
3.67412,462
3.684756,473
3.695396,479
3.706036,484
3.716664,486
3.727296,489
3.73794,493
3.748572,492
3.759212,491
3.769852,494
3.780488,493
3.791116,492
3.801756,489
3.81238,481
3.823004,477
3.833648,473
3.844292,464
3.854916,459
3.865552,448
3.876196,444
3.88682,446
3.89746,443
3.908084,444
3.91872,444
3.929364,443
3.940004,450
3.950636,456
3.96126,470
3.971908,505
3.982548,561
3.993172,642
4.003812,740
4.014452,839
4.025084,932
4.035724,974
4.046348,973
4.056984,973
4.067628,973
4.078256,973
4.088892,973
4.09952,973
4.110152,919
4.12078,836
4.131412,746
4.142048,660
4.152684,586
4.163316,511
4.173956,448
4.18458,392
4.19522,348
4.20586,327
4.216484,315
4.227116,320
4.23774,342
4.248376,373
4.25902,415
4.269648,459
4.280268,499
4.290908,534
4.30154,566
4.31218,587
4.322808,596
4.333444,593
4.344084,577
4.354716,558
4.36534,533
4.375972,506
4.386608,484
4.39724,457
4.407876,438
4.418512,422
4.429156,408
4.43978,402
4.45042,394
4.461044,390
4.47168,394
4.482324,399
4.492952,409
4.503572,419
4.514212,429
4.524848,440
4.535476,452
4.546116,463
4.556752,473
4.567396,480
4.57802,480
4.58866,486
4.599284,490
4.60992,490
4.620548,493
4.631172,488
4.6418,488
4.652436,493
4.663072,490
4.673716,492
4.68434,491
4.694984,489
4.705628,494
4.716252,492
4.726892,490
4.73752,490
4.74816,487
4.758804,486
4.769428,485
4.780052,482
4.790692,479
4.80134,481
4.81198,485
4.822604,498
4.833228,523
4.843868,566
4.854492,636
4.865132,722
4.875764,817
4.8864,917
4.897044,974
4.907672,973
4.918308,973
4.928932,973
4.939568,973
4.950212,973
4.960852,973
4.971476,974
4.982116,942
4.99274,856
5.00338,768
5.014012,678
5.024648,597
5.035276,522
5.045908,456
5.056532,405
5.067172,370
5.077816,354
5.08846,354
5.099084,369
5.109724,396
5.120356,434
5.130988,476
5.141628,519
5.152256,563
5.162888,594
5.17352,620
5.184156,635
5.194788,638
5.205428,633
5.216068,613
5.226708,586
5.237332,558
5.247976,526
5.258604,496
5.269228,467
5.279868,440
5.290496,423
5.301132,413
5.311772,404
5.322396,400
5.333036,403
5.34366,408
5.354304,420
5.364948,433
5.375572,444
5.386212,460
5.396852,473
5.407484,489
5.418124,504
5.428748,512
5.439388,520
5.450028,522
5.46066,522
5.4713,524
5.481924,518
5.492564,512
5.503204,504
5.513828,495
5.524468,490
5.5351,484
5.54574,476
5.55638,470
5.56702,464
5.577664,460
5.588308,455
5.598936,451
5.609572,446
5.620196,447
5.630832,450
5.641476,458
5.6521,479
5.66274,509
5.673364,563
5.684,643
5.694628,733
5.705256,835
5.7159,928
5.72654,973
5.73718,973
5.74782,973
5.758444,973
5.769088,974
5.779732,973
5.79036,973
5.800996,973
5.811628,883
5.822264,793
5.832908,704
5.843548,621
5.854172,545
5.864812,475
5.875436,413
5.886068,369
5.896708,341
5.907352,328
5.917996,335
5.92862,349
5.93926,380
5.949884,420
5.96052,460
5.971164,507
5.981804,544
5.992428,577
6.003068,608
6.013692,621
6.024332,627
6.03496,622
6.045604,605
6.056244,588
6.066872,561
6.077508,530
6.088148,501
6.098784,470
6.109428,446
6.120068,425
6.130696,407
6.141332,391
6.15198,384
6.16262,383
6.173248,385
6.183892,394
6.194532,400
6.205172,414
6.215812,425
6.226436,437
6.237076,454
6.247716,464
6.258344,474
6.26898,486
6.279604,491
6.290248,497
6.300892,497
6.311516,491
6.322156,485
6.332796,480
6.343436,473
6.354072,466
6.364708,458
6.375352,451
6.385996,448
6.396636,441
6.407276,433
6.4179,426
6.428536,417
6.43918,415
6.449808,414
6.460444,412
6.471068,418
6.481712,433
6.492344,464
6.50298,521
6.51362,593
6.52426,684
6.534884,781
6.545524,871
6.556164,953
6.566804,973
6.577444,973
6.588068,973
6.598696,973
6.609316,973
6.619956,913
6.630596,835
6.64122,748
6.65186,663
6.6625,581
6.673132,506
6.683772,439
6.694404,380
6.70504,334
6.715684,303
6.726312,281
6.736948,278
6.74758,286
6.758216,307
6.76886,343
6.779484,379
6.790108,421
6.800748,462
6.81138,496
6.82202,532
6.832656,555
6.843292,568
6.853932,571
6.86456,561
6.87518,547
6.88582,524
6.896456,494
6.9071,463
6.91774,436
6.928364,410
6.939004,387
6.949628,371
6.960268,356
6.970892,350
6.981532,350
6.992172,354
7.0028,367
7.013436,377
7.024076,390
7.034712,407
7.045356,417
7.05598,430
7.066624,438
7.07726,443
7.087888,455
7.09852,459
7.109156,462
7.119792,463
7.130436,463
7.14106,462
7.1517,459
7.16234,454
7.172984,447
7.183628,442
7.194256,436
7.204892,432
7.21552,428
7.22616,420
7.236804,417
7.247428,414
7.258064,411
7.268708,414
7.279348,410
7.28998,411
7.30062,419
7.311256,435
7.3219,473
7.332528,526
7.343164,600
7.353804,694
