ard_micro,pulse
8e-06,566
0.010444,515
0.02098,473
0.031524,443
0.042068,430
0.052604,422
0.06314,420
0.073676,430
0.08422,439
0.094756,448
0.1053,466
0.115884,472
0.126468,486
0.137064,516
0.147652,547
0.158236,592
0.168836,622
0.17942,641
0.190004,658
0.2006,659
0.211188,657
0.221772,649
0.232368,627
0.242956,594
0.25354,548
0.26414,495
0.274724,451
0.285308,413
0.295896,380
0.306484,366
0.317068,362
0.327656,363
0.338244,379
0.34882,390
0.359408,410
0.369996,429
0.38058,441
0.391168,465
0.401756,480
0.41234,491
0.422924,504
0.433508,508
0.444092,516
0.454676,525
0.46526,525
0.475844,525
0.486428,525
0.497012,518
0.507596,518
0.518184,518
0.528764,513
0.539348,517
0.549932,509
0.560516,505
0.5711,510
0.5817,504
0.592284,506
0.602868,506
0.613468,500
0.624052,503
0.634636,503
0.645236,503
0.65582,509
0.666416,507
0.677004,506
0.687588,508
0.698184,506
0.708772,508
0.719356,511
0.729956,505
0.74054,508
0.751124,509
0.76172,504
0.772308,510
0.782892,505
0.793488,502
0.804076,505
0.81466,501
0.82526,507
0.835844,512
0.846428,528
0.857024,561
0.867612,590
0.878196,617
0.88878,641
0.899364,650
0.909948,648
0.920536,644
0.931124,631
0.941712,606
0.952296,567
0.962884,512
0.973468,469
0.984052,424
0.994636,390
1.00522,377
1.015852,365
1.026476,367
1.037112,375
1.04774,384
1.058372,407
1.069008,427
1.079644,443
1.090268,463
1.100908,476
1.11154,489
1.122176,505
1.132808,512
1.143428,515
1.154056,521
1.164692,522
1.175328,523
1.185972,527
1.196604,520
1.20724,520
1.217868,520
1.228492,512
1.239132,517
1.249764,510
1.260404,504
1.271044,511
1.281676,504
1.292308,506
1.30294,506
1.31358,499
1.32422,507
1.334852,507
1.345488,505
1.356116,508
1.366744,504
1.37738,505
1.388012,508
1.398648,506
1.40928,505
1.419908,508
1.430536,502
1.441172,506
1.451808,510
1.462452,506
1.473084,509
1.483724,508
1.494364,504
1.504988,511
1.515628,508
1.526252,506
1.536892,514
1.547532,530
1.558164,566
1.568788,597
1.579424,619
1.590068,641
1.600708,650
1.61134,650
1.621976,647
1.632612,629
1.643244,597
1.653884,557
1.664516,505
1.675152,458
1.685796,422
1.696428,387
1.70706,373
1.717684,370
1.72832,368
1.738948,384
1.749572,394
1.760212,406
1.770852,432
1.781476,446
1.792116,464
1.802748,480
1.813384,485
1.824012,502
1.834644,510
1.845276,513
1.855908,521
1.866544,521
1.877172,522
1.8878,526
1.89844,523
1.909068,519
1.919696,518
1.930332,515
1.940964,514
1.951604,516
1.962244,507
1.972876,508
1.9835,509
1.99414,504
2.00478,509
2.01542,505
2.026048,500
2.03668,505
2.047324,500
2.057964,503
2.068604,503
2.079236,497
2.089872,504
2.100504,504
2.111124,503
2.121748,507
2.132372,505
2.143008,506
2.153652,511
2.164284,508
2.174924,507
2.185564,509
2.196188,507
2.206828,510
2.21746,513
2.2281,511
2.23874,533
2.249364,565
2.259988,593
2.27062,627
2.281268,639
2.291908,647
2.302532,650
2.313168,638
2.323812,631
2.334436,611
2.345076,569
2.355708,525
2.366344,476
2.376988,431
2.387612,401
2.398236,376
2.408876,365
2.419512,368
2.430156,373
2.440784,385
2.45142,401
2.46206,414
2.472684,436
2.483324,457
2.493956,469
2.504592,487
2.515236,496
2.52586,504
2.5365,519
2.547128,520
2.557768,526
2.568412,529
2.579044,522
2.589668,526
2.600308,525
2.610936,519
2.621564,518
2.632192,513
2.642828,510
2.653468,512
2.6641,507
2.674732,505
2.685364,503
2.696,502
2.706632,505
2.717252,508
2.727888,500
2.738516,505
2.74914,509
2.75978,507
2.770408,514
2.781044,508
2.791684,505
2.802316,510
2.812944,504
2.823568,507
2.834192,507
2.844828,501
2.85546,507
2.866096,505
2.87674,503
2.887364,507
2.898004,504
2.908636,506
2.919276,510
2.929916,508
2.94054,521
2.95118,550
2.961808,581
2.972432,613
2.983068,637
2.9937,643
3.004336,651
3.01498,647
3.025604,634
3.036244,619
3.046872,573
3.057516,524
3.068156,479
3.078796,428
3.08942,399
3.100044,377
3.110688,361
3.121332,364
3.131956,370
3.1426,383
3.153244,405
3.163868,419
3.174508,438
3.185132,460
3.19578,475
3.20642,490
3.217052,502
3.227684,505
3.238316,515
3.248956,523
3.259596,519
3.27022,524
3.280856,521
3.291492,519
3.302124,525
3.312764,517
3.323388,516
3.334024,515
3.344656,508
3.355276,515
