Epoch,D Loss,G Loss
1,522.7619018554688,385.2127990722656
2,522.923828125,381.4992980957031
3,517.9762573242188,378.2276611328125
4,513.7662963867188,375.59661865234375
5,510.662109375,371.1416931152344
6,502.68316650390625,369.1599426269531
7,499.57366943359375,363.597412109375
8,495.34832763671875,359.5570068359375
9,496.468994140625,357.447509765625
10,490.46240234375,353.7578430175781
11,484.0472717285156,350.868896484375
12,487.1922607421875,348.2807922363281
13,487.62518310546875,344.3861389160156
14,481.26934814453125,341.70220947265625
15,478.1566162109375,338.6670837402344
16,470.6810607910156,336.20977783203125
17,464.9693603515625,331.4772033691406
18,470.1363525390625,330.63177490234375
19,460.0674133300781,327.1575927734375
20,465.23870849609375,324.8380126953125
21,456.05084228515625,320.696044921875
22,460.0499572753906,316.5389404296875
23,450.49945068359375,317.8736877441406
24,456.7772216796875,315.87725830078125
25,454.3594055175781,312.0479736328125
26,448.2702331542969,307.49298095703125
27,442.41162109375,308.82305908203125
28,439.1120910644531,305.77935791015625
29,448.36505126953125,305.3102722167969
30,447.9954528808594,300.20904541015625
31,439.2496337890625,298.3184509277344
32,438.7203674316406,298.10748291015625
33,431.0562438964844,298.420654296875
34,439.2983093261719,295.8727722167969
35,425.1752624511719,291.6437072753906
36,430.71221923828125,288.44134521484375
37,433.1634521484375,289.88153076171875
38,432.6091003417969,286.1702880859375
39,434.1471862792969,284.64703369140625
40,422.3136291503906,287.3375549316406
41,432.740478515625,280.8795471191406
42,431.0716857910156,285.8128662109375
43,424.4915466308594,279.7416076660156
44,418.8197326660156,281.1033020019531
45,414.5135803222656,276.0688781738281
46,427.9369201660156,274.4950256347656
47,426.2338562011719,273.7071533203125
48,429.15655517578125,284.1116027832031
49,411.6188659667969,272.1568298339844
50,413.0970764160156,278.0720520019531
51,414.18035888671875,272.5177001953125
52,422.0831298828125,269.637939453125
53,419.74853515625,269.5462646484375
54,419.7381591796875,281.6827392578125
55,414.5376892089844,280.66168212890625
56,414.88287353515625,281.8521728515625
57,406.4091796875,280.55828857421875
58,412.2689208984375,279.1457214355469
59,407.1583557128906,276.9207458496094
