in0,in1,in2,in3,in4,in5,in6,in7,in8,in9,in‚ ,in‚¢,in‚¤,inA,inB,inC,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19,inƒA,inƒC,inƒE,inD,inE,inF,Number
3.0936363636363646,4.170363636363632,4.22472727272727,3.9161818181818164,3.3605454545454556,3.0940000000000025,3.2761818181818185,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.1527272727272715,3.257272727272727,3.737090909090909,3.404363636363637,3.5140000000000033,3.387999999999998,3.486181818181817,3.426545454545456,3.5889090909090893,3.529636363636364,3.906727272727273,3.986727272727272,4.990000000000004,4.990000000000004,4.990000000000004,4.147636363636363,4.990000000000004,4.990000000000004,4.698363636363633,3.815454545454545,1
3.1681818181818193,4.066727272727274,3.9767272727272744,3.891818181818181,3.459999999999998,3.1674545454545435,3.9710909090909086,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,3.584363636363636,3.875454545454543,4.030545454545458,3.3816363636363613,3.3349090909090897,3.5885454545454563,3.448363636363637,3.6538181818181834,3.6227272727272712,4.033636363636363,4.1927272727272715,4.990000000000004,4.990000000000004,4.990000000000004,4.4159999999999995,4.990000000000004,4.990000000000004,4.936181818181819,3.969454545454546,2
3.356363636363638,4.327454545454544,4.420545454545453,4.147090909090907,3.5192727272727278,2.9265454545454537,3.093272727272729,4.705272727272723,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.821454545454545,3.245818181818182,3.2694545454545474,3.315272727272726,3.573090909090906,3.5036363636363625,3.4598181818181817,3.609272727272727,3.7456363636363625,3.544545454545454,3.932181818181816,3.932181818181818,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.458909090909091,3.847636363636364,3
3.15290909090909,4.342181818181822,4.538909090909088,4.248545454545455,3.611636363636363,3.1425454545454543,3.5256363636363646,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.981090909090913,4.62981818181818,3.5187272727272743,3.6090909090909102,3.53927272727273,3.4281818181818178,3.2309090909090896,3.7065454545454544,3.586545454545459,3.667272727272725,3.6112727272727287,3.8707272727272755,3.8836363636363647,4.990000000000004,4.990000000000004,4.990000000000004,4.81927272727273,4.990000000000004,4.990000000000004,4.857636363636366,3.855272727272728,4
3.1359999999999997,4.320727272727274,4.316727272727274,3.9994545454545456,3.2119999999999997,2.6405454545454554,2.8754545454545455,4.723272727272728,4.990000000000004,4.646909090909093,4.990000000000004,4.990000000000004,4.960363636363638,3.2689090909090908,3.4319999999999995,3.7345454545454557,3.2430909090909084,3.2374545454545456,3.377818181818184,3.5329090909090923,3.702909090909088,3.5567272727272723,3.9358181818181808,3.906545454545454,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.826727272727274,4.011272727272728,5
3.048000000000003,4.32509090909091,4.250363636363634,4.047636363636364,3.359272727272728,2.874363636363636,3.22909090909091,4.7898181818181795,4.990000000000004,4.405636363636364,4.990000000000004,4.489090909090909,4.939454545454549,3.320363636363635,3.6852727272727273,3.8483636363636373,3.1840000000000006,3.1860000000000004,3.441090909090908,3.4769090909090905,3.4885454545454566,3.326363636363636,3.7723636363636333,3.7572727272727264,4.990000000000004,4.990000000000004,4.990000000000004,4.354909090909092,4.990000000000004,4.990000000000004,4.654181818181815,3.9225454545454514,6
3.294909090909091,4.368363636363637,4.1587272727272735,3.8276363636363637,3.3243636363636364,3.005454545454546,3.3458181818181814,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,3.9081818181818178,4.179454545454545,3.2900000000000014,3.4958181818181826,3.5400000000000005,3.380181818181818,3.6023636363636364,3.6536363636363625,3.5736363636363624,3.6583636363636374,3.7118181818181815,3.9659999999999997,3.9707272727272724,4.990000000000004,4.990000000000004,4.990000000000004,3.1639999999999997,4.990000000000004,4.990000000000004,4.741636363636365,4.099636363636363,7
3.0138181818181806,4.236727272727273,4.133454545454546,3.8758181818181847,3.4052727272727275,3.0952727272727283,3.4718181818181817,4.990000000000004,4.990000000000004,4.867454545454547,4.990000000000004,3.850545454545454,4.850363636363637,3.5749090909090935,3.5469090909090917,3.4789090909090903,3.4690909090909083,3.3838181818181843,3.592545454545455,3.5649090909090897,3.645999999999998,3.5719999999999965,3.9090909090909087,3.885090909090912,4.990000000000004,4.990000000000004,4.990000000000004,4.187636363636363,4.990000000000004,4.990000000000004,4.5218181818181815,3.847090909090911,8
3.3603508771929818,4.248245614035088,4.325263157894734,3.9307017543859653,3.586666666666669,3.162105263157896,3.636140350877194,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.985789473684214,4.68157894736842,3.4782456140350875,3.706140350877195,3.7940350877193,3.6259649122807027,3.7029824561403473,3.75140350877193,3.7800000000000007,3.7885964912280685,3.6887719298245614,4.010877192982455,4.126315789473685,4.990000000000004,4.990000000000004,4.990000000000004,4.357543859649127,4.990000000000004,4.990000000000004,4.597017543859651,4.18438596491228,9
2.977368421052631,4.250175438596493,4.281578947368422,3.7180701754385943,3.261754385964912,2.8677192982456132,3.130877192982454,4.785789473684213,4.990000000000004,4.5189473684210535,4.990000000000004,4.990000000000004,4.990000000000004,3.390175438596489,3.6222807017543883,3.703684210526315,3.2685964912280707,3.3501754385964913,3.5566666666666693,3.57719298245614,3.7470175438596502,3.5559649122807038,3.9243859649122768,4.0142105263157895,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.990000000000004,4.836666666666669,3.968947368421053,10
