,1,2,3,4,5,6,7,8,9,10,accuracy,macro avg,weighted avg
precision,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.3333333333333333,1.0,0.0,0.1,0.14242424242424243,0.14242424242424243
recall,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.2,0.0,0.1,0.1,0.1
f1-score,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.25,0.33333333333333337,0.0,0.1,0.07412280701754385,0.07412280701754387
support,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.1,50.0,50.0
