(DATA_DIR),./data/dropna/exam_type_2
(TRAIN_SUBJECTS),ueda,iguma,takeuchi,ogura,igarashi,kota_sakaguchi
(TEST_SUBJECTS),fujii
(USE_COLUMNS),device_time_stamp,left_gaze_point_in_user_coordinate_system_x,left_gaze_point_in_user_coordinate_system_y,left_gaze_point_in_user_coordinate_system_z,left_pupil_diameter,left_gaze_origin_in_user_coordinate_system_x,left_gaze_origin_in_user_coordinate_system_y,left_gaze_origin_in_user_coordinate_system_z,right_gaze_point_in_user_coordinate_system_x,right_gaze_point_in_user_coordinate_system_y,right_gaze_point_in_user_coordinate_system_z,right_pupil_diameter,right_gaze_origin_in_user_coordinate_system_x,right_gaze_origin_in_user_coordinate_system_y,right_gaze_origin_in_user_coordinate_system_z
(EPOCH),1000

Filename,Window,Answer,Prediction,Output
drunk_20240705_003931_gaze.csv,292529518,drunk,drunk,"[0.8377858, 0.15260349]"
drunk_20240707_234042_gaze.csv,12696658330,drunk,drunk,"[0.6456115, 0.24148421]"
sober_20240705_112515_gaze.csv,306376594,sober,drunk,"[0.996473, 0.003584132]"
sober_20240705_183753_gaze.csv,26277401307,sober,sober,"[0.015326707, 0.98168796]"
(Accuracy),0.75
