TestFile,Diff
1_mp3,12.727518310546875
2_mp3,12.202484130859375
3_mp3,11.7581201171875
4_mp3,15.95837158203125
5_mp3,18.628880615234376
6_mp3,17.316966552734375
7_mp3,18.7144580078125
8_mp3,17.1607861328125
9_mp3,14.392509765625
10_mp3,16.301036376953125
11_mp3,14.812264404296876
12_mp3,10.2852734375
13_mp3,11.698763427734375
14_mp3,12.65064697265625
15_mp3,12.034927978515626
16_mp3,12.639625244140625
17_mp3,11.2865087890625
18_mp3,13.7712353515625
19_mp3,10.810517578125
20_mp3,12.657618408203126
21_mp3,11.602578125
22_mp3,13.24184326171875
23_mp3,16.543739013671875
24_mp3,16.34630126953125
25_mp3,18.431575927734375
26_mp3,17.90156005859375
27_mp3,15.154432373046875
28_mp3,18.81333251953125
29_mp3,17.833994140625
30_mp3,15.342938232421876
31_mp3,11.173450927734375
(Avg.)shampoo,14.522395452683972
