Test Bottle,FFT,Diff
coffee_1,False,39.8708984375
coffee_2,False,36.10311279296875
coffee_3,False,34.52758056640625
coffee_4,False,35.87943115234375
coffee_5,False,38.4877587890625
coffee_6,False,36.102919921875
(Avg.)coffee,False,36.82861694335938
detergent_1,False,9.3600146484375
detergent_2,False,42.35630859375
detergent_3,False,9.98549560546875
detergent_4,False,8.0677783203125
detergent_5,False,8.314690551757813
detergent_6,False,18.391483154296875
(Avg.)detergent,False,16.079295145670574
shampoo_1,False,9.099490966796875
shampoo_2,False,14.51503662109375
shampoo_3,False,11.628570556640625
shampoo_4,False,13.368228759765625
shampoo_5,False,4.82195556640625
shampoo_6,False,9.226713256835938
(Avg.)shampoo,False,10.443332621256511
skinmilk_1,False,25.08468017578125
skinmilk_2,False,25.305654296875
skinmilk_3,False,26.41002197265625
skinmilk_4,False,28.7682080078125
skinmilk_5,False,26.683720703125
skinmilk_6,False,31.6199169921875
(Avg.)skinmilk,False,27.312033691406253
tokkuri_1,False,31.602275390625
tokkuri_2,False,20.6130224609375
tokkuri_3,False,20.445321044921876
tokkuri_4,False,5.565675659179687
tokkuri_5,False,5.0005615234375
tokkuri_6,False,6.65257568359375
(Avg.)tokkuri,False,14.979905293782553
coffee_1,True,37.126962890625
coffee_2,True,37.44573486328125
coffee_3,True,34.477939453125
coffee_4,True,38.21654052734375
coffee_5,True,36.4117626953125
coffee_6,True,35.9186279296875
(Avg.)coffee,True,36.59959472656251
detergent_1,True,45.3851416015625
detergent_2,True,45.40970703125
detergent_3,True,41.38966796875
detergent_4,True,42.2499755859375
detergent_5,True,41.4099853515625
detergent_6,True,40.5431689453125
(Avg.)detergent,True,42.731274414062504
shampoo_1,True,40.58145263671875
shampoo_2,True,37.7209423828125
shampoo_3,True,38.91381591796875
shampoo_4,True,34.1253564453125
shampoo_5,True,35.700068359375
shampoo_6,True,34.34504150390625
(Avg.)shampoo,True,36.89777954101562
skinmilk_1,True,24.118427734375
skinmilk_2,True,22.13597412109375
skinmilk_3,True,23.38583740234375
skinmilk_4,True,29.4377294921875
skinmilk_5,True,24.43184814453125
skinmilk_6,True,27.72517578125
(Avg.)skinmilk,True,25.20583211263021
tokkuri_1,True,30.9626806640625
tokkuri_2,True,28.63750732421875
tokkuri_3,True,26.5760693359375
tokkuri_4,True,27.3440380859375
tokkuri_5,True,24.5179150390625
tokkuri_6,True,26.726796875
(Avg.)tokkuri,True,27.460834554036456
