TestFile,Diff
1_mp3,20.438505859375
2_mp3,22.913056640625
3_mp3,22.76117919921875
4_mp3,24.2271337890625
5_mp3,21.2202783203125
6_mp3,24.29019775390625
7_mp3,21.1314453125
8_mp3,24.37859619140625
9_mp3,23.14935546875
10_mp3,22.8837939453125
11_mp3,22.98189697265625
12_mp3,21.54524169921875
13_mp3,20.035816650390625
14_mp3,20.79819580078125
15_mp3,20.92732421875
16_mp3,24.674072265625
17_mp3,23.3616357421875
18_mp3,22.5417041015625
19_mp3,24.34994384765625
20_mp3,20.75623046875
21_mp3,22.8869482421875
22_mp3,21.361474609375
23_mp3,24.52642333984375
24_mp3,22.32213134765625
25_mp3,23.0971240234375
26_mp3,23.631572265625
27_mp3,21.313720703125
28_mp3,22.77427490234375
29_mp3,26.16318359375
30_mp3,24.23953125
31_mp3,23.130966796875
(Avg.)shampoo,22.735901784589217
