TestFile,Answer,Prediction
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,90-100
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,90-100
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,0-90,90-100
dishwashing,90-100,90-100
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,0-90,90-100
dishwashing,0-90,0-90
dishwashing,0-90,90-100
dishwashing,90-100,0-90
dishwashing,90-100,90-100
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,90-100
dishwashing,0-90,0-90
dishwashing,0-90,90-100
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,90-100,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,90-100
dishwashing,0-90,0-90
dishwashing,90-100,0-90
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,0-90,90-100
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,0-90,90-100
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,90-100,0-90
dishwashing,90-100,90-100
dishwashing,90-100,90-100
dishwashing,0-90,0-90
dishwashing,90-100,90-100
dishwashing,0-90,0-90
(Accuracy)dishwashing,0.668
shampoo,0-90,90-100
shampoo,0-90,90-100
shampoo,90-100,90-100
shampoo,0-90,0-90
shampoo,0-90,90-100
shampoo,0-90,0-90
shampoo,0-90,90-100
shampoo,0-90,90-100
shampoo,0-90,90-100
shampoo,90-100,90-100
shampoo,90-100,0-90
shampoo,0-90,0-90
shampoo,0-90,90-100
shampoo,0-90,90-100
shampoo,0-90,0-90
shampoo,0-90,0-90
shampoo,0-90,90-100
shampoo,0-90,0-90
shampoo,0-90,0-90
shampoo,90-100,90-100
shampoo,0-90,0-90
shampoo,0-90,0-90
