TestFile,Answer,Prediction
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,90-100
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,90-100
1_mp3,90-100,90-100
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,80-90
1_mp3,90-100,90-100
(Accuracy)1_mp3,0.34
2_mp3,90-100,90-100
2_mp3,90-100,90-100
2_mp3,90-100,90-100
2_mp3,90-100,80-90
2_mp3,90-100,90-100
2_mp3,90-100,90-100
2_mp3,90-100,90-100
2_mp3,90-100,80-90
2_mp3,90-100,90-100
2_mp3,90-100,90-100
2_mp3,90-100,90-100
2_mp3,90-100,90-100
2_mp3,90-100,90-100
2_mp3,90-100,90-100
2_mp3,90-100,80-90
2_mp3,90-100,90-100
2_mp3,90-100,80-90
2_mp3,90-100,80-90
2_mp3,90-100,90-100
2_mp3,90-100,80-90
2_mp3,90-100,90-100
2_mp3,90-100,90-100
2_mp3,90-100,90-100
2_mp3,90-100,80-90
2_mp3,90-100,90-100
2_mp3,90-100,80-90
2_mp3,90-100,90-100
2_mp3,90-100,90-100
2_mp3,90-100,90-100
2_mp3,90-100,90-100
2_mp3,90-100,90-100
2_mp3,90-100,90-100
2_mp3,90-100,90-100
2_mp3,90-100,90-100
2_mp3,90-100,80-90
2_mp3,90-100,80-90
2_mp3,90-100,90-100
2_mp3,90-100,90-100
2_mp3,90-100,90-100
2_mp3,90-100,90-100
