TestFile,Diff
1_mp3,14.68912109375
2_mp3,5.832171875
3_mp3,8.3869873046875
4_mp3,9.986263671875
5_mp3,7.7144814453125
6_mp3,10.37610546875
7_mp3,7.90034765625
8_mp3,7.41559423828125
9_mp3,9.5129580078125
10_mp3,10.0332109375
11_mp3,10.1185703125
12_mp3,10.96510546875
13_mp3,9.442439453125
14_mp3,8.2199052734375
15_mp3,9.5637080078125
16_mp3,11.2610048828125
17_mp3,8.818986328125
18_mp3,11.683986328125
19_mp3,9.7053916015625
20_mp3,8.26948046875
21_mp3,7.4195
22_mp3,11.342212890625
23_mp3,7.4275068359375
24_mp3,7.10776025390625
25_mp3,7.600048828125
26_mp3,5.253326171875
27_mp3,6.7104560546875
28_mp3,5.1564296875
29_mp3,6.08174755859375
30_mp3,14.62107421875
31_mp3,11.460748046875
(Avg.)shampoo,9.034730011970767
