TestFile,Epoch,Answer,Prediction
1_mp3,190,89,64
1_mp3,190,38,32
1_mp3,190,97,91
1_mp3,200,85,75
1_mp3,200,9,64
1_mp3,200,88,96
1_mp3,200,64,43
1_mp3,200,51,16
1_mp3,200,56,60
1_mp3,200,33,34
1_mp3,200,60,45
1_mp3,200,84,47
1_mp3,200,76,45
1_mp3,210,94,62
1_mp3,210,75,49
1_mp3,210,19,22
1_mp3,210,59,26
1_mp3,210,59,32
1_mp3,210,75,48
1_mp3,210,46,27
1_mp3,210,67,49
1_mp3,210,65,48
1_mp3,210,32,16
1_mp3,220,90,32
1_mp3,220,22,18
1_mp3,220,95,38
1_mp3,220,82,59
1_mp3,220,90,37
1_mp3,220,92,28
1_mp3,220,33,31
1_mp3,220,58,38
1_mp3,220,11,26
1_mp3,220,89,46
1_mp3,230,38,41
1_mp3,230,89,42
1_mp3,230,81,55
1_mp3,230,41,26
1_mp3,230,19,25
1_mp3,230,11,30
1_mp3,230,50,50
1_mp3,230,11,33
1_mp3,230,13,29
1_mp3,230,51,39
1_mp3,240,98,100
1_mp3,240,48,35
1_mp3,240,13,35
1_mp3,240,74,55
1_mp3,240,50,65
1_mp3,240,14,31
1_mp3,240,61,47
1_mp3,240,60,61
1_mp3,240,46,63
1_mp3,240,94,62
1_mp3,250,23,54
1_mp3,250,29,27
1_mp3,250,39,39
1_mp3,250,92,100
1_mp3,250,5,29
1_mp3,250,14,56
1_mp3,250,40,52
1_mp3,250,74,84
1_mp3,250,77,71
1_mp3,250,29,16
1_mp3,260,50,47
1_mp3,260,88,48
1_mp3,260,10,53
1_mp3,260,26,34
1_mp3,260,75,52
1_mp3,260,50,51
1_mp3,260,43,36
1_mp3,260,61,52
1_mp3,260,57,36
1_mp3,260,63,48
1_mp3,270,6,38
1_mp3,270,37,30
1_mp3,270,53,55
1_mp3,270,14,46
1_mp3,270,39,36
1_mp3,270,42,42
1_mp3,270,28,19
1_mp3,270,72,51
1_mp3,270,84,52
1_mp3,270,86,44
1_mp3,280,66,51
1_mp3,280,9,60
1_mp3,280,4,57
1_mp3,280,99,67
1_mp3,280,92,64
1_mp3,280,23,41
1_mp3,280,80,55
1_mp3,280,94,49
1_mp3,280,54,31
1_mp3,280,37,20
1_mp3,290,68,49
1_mp3,290,20,57
1_mp3,290,26,24
1_mp3,290,54,42
1_mp3,290,37,26
1_mp3,290,3,55
1_mp3,290,20,65
1_mp3,290,28,30
1_mp3,290,53,48
1_mp3,290,41,37
1_mp3,300,87,89
1_mp3,300,9,44
1_mp3,300,41,38
1_mp3,300,81,52
1_mp3,300,21,39
1_mp3,300,88,46
1_mp3,300,71,69
1_mp3,300,53,40
1_mp3,300,64,32
1_mp3,300,98,46
1_mp3,310,97,39
1_mp3,310,29,32
1_mp3,310,39,35
1_mp3,310,42,31
1_mp3,310,61,47
1_mp3,310,45,26
1_mp3,310,22,17
1_mp3,310,57,38
1_mp3,310,68,62
1_mp3,310,79,64
1_mp3,320,63,40
1_mp3,320,19,44
1_mp3,320,11,53
1_mp3,320,58,89
1_mp3,320,40,76
1_mp3,320,85,72
1_mp3,320,22,35
1_mp3,320,33,34
1_mp3,320,93,87
1_mp3,320,39,42
1_mp3,330,83,66
1_mp3,330,64,62
1_mp3,330,17,22
1_mp3,330,38,23
1_mp3,330,95,30
1_mp3,330,93,56
1_mp3,330,98,37
1_mp3,330,30,25
1_mp3,330,15,46
1_mp3,330,56,39
1_mp3,340,14,58
1_mp3,340,86,59
1_mp3,340,84,34
1_mp3,340,6,38
1_mp3,340,54,43
1_mp3,340,53,29
1_mp3,340,61,49
1_mp3,340,27,32
1_mp3,340,45,35
1_mp3,340,39,22
1_mp3,350,24,32
1_mp3,350,38,21
1_mp3,350,76,93
1_mp3,350,78,59
1_mp3,350,40,48
1_mp3,350,85,51
1_mp3,350,75,68
1_mp3,350,43,28
1_mp3,350,65,49
1_mp3,350,8,45
1_mp3,360,22,49
1_mp3,360,51,67
1_mp3,360,74,80
1_mp3,360,53,53
1_mp3,360,91,66
1_mp3,360,68,55
1_mp3,360,85,85
1_mp3,360,60,76
1_mp3,360,64,51
1_mp3,360,99,74
1_mp3,370,42,40
1_mp3,370,26,52
1_mp3,370,15,21
1_mp3,370,72,42
1_mp3,370,92,74
1_mp3,370,19,43
1_mp3,370,62,47
1_mp3,370,51,40
1_mp3,370,22,32
1_mp3,370,57,38
1_mp3,380,95,63
1_mp3,380,6,74
1_mp3,380,19,40
1_mp3,380,19,63
1_mp3,380,98,44
1_mp3,380,16,65
1_mp3,380,22,45
1_mp3,380,93,59
1_mp3,380,53,98
1_mp3,380,88,51
1_mp3,390,12,48
1_mp3,390,58,52
1_mp3,390,31,64
1_mp3,390,10,53
1_mp3,390,44,73
1_mp3,390,8,76
1_mp3,390,43,40
1_mp3,390,27,28
1_mp3,390,86,70
1_mp3,390,86,89
1_mp3,400,36,24
1_mp3,400,7,31
1_mp3,400,74,76
1_mp3,400,44,37
1_mp3,400,11,22
1_mp3,400,39,46
1_mp3,400,27,23
1_mp3,400,23,72
1_mp3,400,47,100
1_mp3,400,39,35
1_mp3,410,80,92
1_mp3,410,26,22
1_mp3,410,27,19
1_mp3,410,53,60
1_mp3,410,30,26
1_mp3,410,76,66
1_mp3,410,96,62
1_mp3,410,77,99
1_mp3,410,12,40
1_mp3,410,6,45
1_mp3,420,75,91
1_mp3,420,62,63
1_mp3,420,36,46
1_mp3,420,27,27
1_mp3,420,80,77
1_mp3,420,93,64
1_mp3,420,33,45
1_mp3,420,8,40
1_mp3,420,47,43
1_mp3,420,64,55
1_mp3,430,32,56
1_mp3,430,88,52
1_mp3,430,87,55
1_mp3,430,37,40
1_mp3,430,90,75
1_mp3,430,41,53
1_mp3,430,80,43
1_mp3,430,92,56
1_mp3,430,41,49
1_mp3,430,36,32
1_mp3,440,64,85
1_mp3,440,38,32
1_mp3,440,81,82
1_mp3,440,24,41
1_mp3,440,25,70
1_mp3,440,49,64
1_mp3,440,69,70
1_mp3,440,59,48
1_mp3,440,38,81
1_mp3,440,27,24
1_mp3,450,63,50
1_mp3,450,94,44
1_mp3,450,54,91
1_mp3,450,94,47
1_mp3,450,77,60
1_mp3,450,76,37
1_mp3,450,86,63
1_mp3,450,56,43
1_mp3,450,39,56
1_mp3,450,28,32
1_mp3,460,98,45
1_mp3,460,29,32
1_mp3,460,59,72
1_mp3,460,10,31
1_mp3,460,28,54
1_mp3,460,40,50
1_mp3,460,75,70
1_mp3,460,16,44
1_mp3,460,18,73
1_mp3,460,32,45
1_mp3,470,20,61
1_mp3,470,4,48
1_mp3,470,11,69
1_mp3,470,50,60
1_mp3,470,13,36
1_mp3,470,85,81
1_mp3,470,43,49
1_mp3,470,63,90
1_mp3,470,19,76
1_mp3,470,48,42
1_mp3,480,26,25
1_mp3,480,64,100
1_mp3,480,47,49
1_mp3,480,11,73
1_mp3,480,51,71
1_mp3,480,73,74
1_mp3,480,8,33
1_mp3,480,10,33
1_mp3,480,9,53
1_mp3,480,54,33
1_mp3,490,7,50
1_mp3,490,34,26
1_mp3,490,88,41
1_mp3,490,63,49
1_mp3,490,34,23
1_mp3,490,64,45
1_mp3,490,29,17
1_mp3,490,79,52
1_mp3,490,77,59
1_mp3,490,73,54
1_mp3,500,29,19
1_mp3,500,44,33
