Test Bottle,Diff
1_mp3,22.79923095703125
2_mp3,14.483465576171875
3_mp3,48.27080078125
4_mp3,47.658779296875
5_mp3,48.5163525390625
6_mp3,46.422412109375
7_mp3,20.37738037109375
8_mp3,46.89876953125
9_mp3,47.7916796875
10_mp3,23.27906494140625
11_mp3,15.047725830078125
12_mp3,45.876162109375
13_mp3,20.462742919921876
14_mp3,6.25938232421875
15_mp3,6.74094970703125
16_mp3,11.29363037109375
17_mp3,44.4057275390625
18_mp3,44.5199462890625
19_mp3,52.7208203125
20_mp3,17.7952734375
21_mp3,47.39185546875
22_mp3,40.55154296875
23_mp3,50.7312451171875
24_mp3,52.5849462890625
25_mp3,18.183231201171875
26_mp3,24.02755126953125
27_mp3,21.83133056640625
28_mp3,45.4969140625
29_mp3,48.1064208984375
30_mp3,21.155009765625
31_mp3,45.5373681640625
(Avg.)shampoo,33.781216529107866
