Test Bottle,FFT,Diff
coffee_1,False,21.377998046875
coffee_2,False,50.33267578125
coffee_3,False,7.393013305664063
coffee_4,False,19.363958740234374
coffee_5,False,50.963515625
coffee_6,False,16.190684814453125
(Avg.)coffee,False,27.6036410522461
detergent_1,False,12.97588623046875
detergent_2,False,11.309552001953126
detergent_3,False,17.5873779296875
detergent_4,False,40.10201904296875
detergent_5,False,14.6595556640625
detergent_6,False,14.00991943359375
(Avg.)detergent,False,18.44071838378906
shampoo_1,False,19.639312744140625
shampoo_2,False,18.706600341796875
shampoo_3,False,12.490924072265624
shampoo_4,False,47.377021484375
shampoo_5,False,14.2454052734375
shampoo_6,False,13.1173583984375
(Avg.)shampoo,False,20.929437052408854
skinmilk_1,False,42.681025390625
skinmilk_2,False,45.9314306640625
skinmilk_3,False,46.8117626953125
skinmilk_4,False,44.6863720703125
skinmilk_5,False,44.49392578125
skinmilk_6,False,10.2416064453125
(Avg.)skinmilk,False,39.1410205078125
tokkuri_1,False,11.7167333984375
tokkuri_2,False,20.53943603515625
tokkuri_3,False,14.15516845703125
tokkuri_4,False,47.75171875
tokkuri_5,False,9.226181640625
tokkuri_6,False,13.489580078125
(Avg.)tokkuri,False,19.479803059895833
