Test Bottle,FFT,Diff
coffee_1,False,10.21265869140625
coffee_2,False,11.1577099609375
coffee_3,False,9.024915771484375
coffee_4,False,46.5123095703125
coffee_5,False,47.5005712890625
coffee_6,False,7.591828002929687
(Avg.)coffee,False,21.999998881022133
detergent_1,False,12.043431396484374
detergent_2,False,12.530711669921875
detergent_3,False,10.368203125
detergent_4,False,10.72714111328125
detergent_5,False,49.1321435546875
detergent_6,False,7.162532348632812
(Avg.)detergent,False,16.994027201334635
shampoo_1,False,12.32458984375
shampoo_2,False,13.34922607421875
shampoo_3,False,53.836005859375
shampoo_4,False,13.537723388671875
shampoo_5,False,6.665752563476563
shampoo_6,False,11.887901611328125
(Avg.)shampoo,False,18.600199890136718
skinmilk_1,False,46.1556201171875
skinmilk_2,False,10.554195556640625
skinmilk_3,False,6.828219604492188
skinmilk_4,False,48.1855126953125
skinmilk_5,False,44.616220703125
skinmilk_6,False,47.4356298828125
(Avg.)skinmilk,False,33.96256642659505
tokkuri_1,False,9.43132568359375
tokkuri_2,False,48.8986181640625
tokkuri_3,False,10.257239990234375
tokkuri_4,False,8.7735498046875
tokkuri_5,False,6.248910522460937
tokkuri_6,False,7.576734619140625
(Avg.)tokkuri,False,15.19772979736328
