TestFile,Epoch,Answer,Prediction
1_mp3,1000,46,36
1_mp3,1000,11,48
1_mp3,1000,59,63
1_mp3,1000,44,46
1_mp3,1000,74,67
1_mp3,1000,20,34
1_mp3,1000,33,44
1_mp3,1000,62,45
1_mp3,1000,54,58
1_mp3,1000,75,63
1_mp3,1000,51,87
1_mp3,1000,11,47
1_mp3,1000,47,44
1_mp3,1000,58,44
1_mp3,1000,61,52
1_mp3,1000,53,53
1_mp3,1000,61,49
1_mp3,1000,68,59
1_mp3,1000,92,53
1_mp3,1000,41,36
1_mp3,1000,29,35
1_mp3,1000,8,38
1_mp3,1000,51,47
1_mp3,1000,88,92
1_mp3,1000,88,63
1_mp3,1000,30,32
1_mp3,1000,95,57
1_mp3,1000,11,46
1_mp3,1000,38,26
1_mp3,1000,18,56
1_mp3,1000,73,63
1_mp3,1000,45,35
1_mp3,1000,93,56
1_mp3,1000,17,57
1_mp3,1000,42,24
1_mp3,1000,64,75
1_mp3,1000,5,28
1_mp3,1000,59,50
1_mp3,1000,45,52
1_mp3,1000,68,48
1_mp3,1000,11,29
1_mp3,1000,58,54
1_mp3,1000,27,38
1_mp3,1000,96,57
1_mp3,1000,79,53
1_mp3,1000,90,86
1_mp3,1000,53,35
1_mp3,1000,40,54
1_mp3,1000,25,33
1_mp3,1000,83,55
1_mp3,1000,75,58
1_mp3,1000,29,27
1_mp3,1000,57,38
1_mp3,1000,76,64
1_mp3,1000,58,44
1_mp3,1000,26,35
1_mp3,1000,40,36
1_mp3,1000,79,58
1_mp3,1000,8,67
1_mp3,1000,41,38
1_mp3,1000,51,52
1_mp3,1000,72,61
1_mp3,1000,45,27
1_mp3,1000,11,28
1_mp3,1000,7,46
1_mp3,1000,10,55
1_mp3,1000,18,27
1_mp3,1000,67,58
1_mp3,1000,14,60
1_mp3,1000,20,49
1_mp3,1000,56,46
1_mp3,1000,15,46
1_mp3,1000,38,71
1_mp3,1000,98,88
1_mp3,1000,91,73
1_mp3,1000,51,43
1_mp3,1000,32,26
1_mp3,1000,96,54
1_mp3,1000,9,36
1_mp3,1000,54,66
1_mp3,1000,20,33
1_mp3,1000,96,41
1_mp3,1000,45,45
1_mp3,1000,92,47
1_mp3,1000,76,56
