Epoch,Answer,Prediction
coffee_1,10,29,72
coffee_1,10,23,44
coffee_1,10,9,16
coffee_1,10,39,94
coffee_1,10,98,2
coffee_1,10,52,37
coffee_1,10,4,2
coffee_1,10,96,1
coffee_1,10,41,37
coffee_1,10,74,15
coffee_1,20,32,8
coffee_1,20,28,12
coffee_1,20,88,2
coffee_1,20,29,27
coffee_1,20,96,0
coffee_1,20,72,4
coffee_1,20,46,23
coffee_1,20,84,2
coffee_1,20,46,27
coffee_1,20,35,13
coffee_1,30,57,11
coffee_1,30,30,29
coffee_1,30,81,6
coffee_1,30,45,12
coffee_1,30,67,19
coffee_1,30,38,37
coffee_1,30,90,3
coffee_1,30,17,29
coffee_1,30,43,47
coffee_1,30,27,19
coffee_1,40,58,15
coffee_1,40,78,7
coffee_1,40,21,37
coffee_1,40,37,27
coffee_1,40,80,8
coffee_1,40,68,25
coffee_1,40,66,34
coffee_1,40,4,2
coffee_1,40,51,29
coffee_1,40,64,35
coffee_1,50,22,48
coffee_1,50,25,42
coffee_1,50,46,51
coffee_1,50,42,40
coffee_1,50,70,15
coffee_1,50,81,11
coffee_1,50,75,16
coffee_1,50,63,20
coffee_1,50,16,62
coffee_1,50,81,12
coffee_1,60,93,22
coffee_1,60,49,47
coffee_1,60,72,63
coffee_1,60,23,40
coffee_1,60,42,93
coffee_1,60,41,100
coffee_1,60,68,15
coffee_1,60,21,51
coffee_1,60,93,36
coffee_1,60,74,31
coffee_1,70,37,88
coffee_1,70,82,44
coffee_1,70,7,8
coffee_1,70,53,13
coffee_1,70,88,100
coffee_1,70,74,43
coffee_1,70,56,12
coffee_1,70,54,100
coffee_1,70,37,100
coffee_1,70,71,59
coffee_1,80,62,52
coffee_1,80,51,66
coffee_1,80,50,100
coffee_1,80,66,30
coffee_1,80,21,12
coffee_1,80,12,13
coffee_1,80,92,100
coffee_1,80,40,100
coffee_1,80,43,17
coffee_1,80,11,13
coffee_1,90,85,100
coffee_1,90,94,100
coffee_1,90,56,86
coffee_1,90,62,16
coffee_1,90,46,30
coffee_1,90,41,62
coffee_1,90,11,20
coffee_1,90,88,95
coffee_1,90,16,21
coffee_1,90,32,56
coffee_1,100,98,100
coffee_1,100,28,21
coffee_1,100,89,100
coffee_1,100,69,57
coffee_1,100,96,100
coffee_1,100,99,87
coffee_1,100,73,5
coffee_1,100,80,79
coffee_1,100,61,100
coffee_1,100,81,100
coffee_1,110,44,29
coffee_1,110,24,17
coffee_1,110,12,12
coffee_1,110,53,50
coffee_1,110,7,11
coffee_1,110,9,15
