TestFile,Epoch,Answer,Prediction
coffee_1,10,41,12
coffee_1,10,68,2
coffee_1,10,45,5
coffee_1,10,64,11
coffee_1,10,12,16
coffee_1,10,19,22
coffee_1,10,34,10
coffee_1,10,34,16
coffee_1,10,43,14
coffee_1,10,76,5
coffee_1,20,29,3
coffee_1,20,37,2
coffee_1,20,31,5
coffee_1,20,78,1
coffee_1,20,40,3
coffee_1,20,24,4
coffee_1,20,73,0
coffee_1,20,99,0
coffee_1,20,71,2
coffee_1,20,4,6
coffee_1,30,63,38
coffee_1,30,41,23
coffee_1,30,79,13
coffee_1,30,16,7
coffee_1,30,68,19
coffee_1,30,42,37
coffee_1,30,47,20
coffee_1,30,70,16
coffee_1,30,24,26
coffee_1,30,28,13
coffee_1,40,45,83
coffee_1,40,84,10
coffee_1,40,14,82
coffee_1,40,23,69
coffee_1,40,80,4
coffee_1,40,71,4
coffee_1,40,76,24
coffee_1,40,25,61
coffee_1,40,35,38
coffee_1,40,8,75
coffee_1,50,92,11
coffee_1,50,88,13
coffee_1,50,54,38
coffee_1,50,55,28
coffee_1,50,83,9
coffee_1,50,32,43
coffee_1,50,45,62
coffee_1,50,93,23
coffee_1,50,34,42
coffee_1,50,89,7
coffee_1,60,75,10
coffee_1,60,61,47
coffee_1,60,97,8
coffee_1,60,89,16
coffee_1,60,80,16
coffee_1,60,9,34
coffee_1,60,31,32
coffee_1,60,75,21
coffee_1,60,75,40
coffee_1,60,85,16
coffee_1,70,52,34
coffee_1,70,51,37
coffee_1,70,79,8
coffee_1,70,52,16
coffee_1,70,45,30
coffee_1,70,96,11
coffee_1,70,58,24
coffee_1,70,85,9
coffee_1,70,27,25
coffee_1,70,50,21
coffee_1,80,95,26
coffee_1,80,64,24
coffee_1,80,53,31
coffee_1,80,34,42
coffee_1,80,36,67
coffee_1,80,65,74
coffee_1,80,40,30
coffee_1,80,26,23
coffee_1,80,68,100
coffee_1,80,85,7
coffee_1,90,30,32
coffee_1,90,75,84
coffee_1,90,50,68
coffee_1,90,9,59
coffee_1,90,22,18
coffee_1,90,19,28
coffee_1,90,72,100
coffee_1,90,28,100
coffee_1,90,32,100
coffee_1,90,18,4
coffee_1,100,26,12
