Epoch,Answer,Prediction
coffee_1,270,84,55
coffee_1,270,13,0
coffee_1,270,18,0
coffee_1,270,86,72
coffee_1,270,90,66
coffee_1,280,71,100
coffee_1,280,69,64
coffee_1,280,35,70
coffee_1,280,41,44
coffee_1,280,29,55
coffee_1,280,80,97
coffee_1,280,20,0
coffee_1,280,92,61
coffee_1,280,65,55
coffee_1,280,75,61
coffee_1,290,84,64
coffee_1,290,56,100
coffee_1,290,89,70
coffee_1,290,24,0
coffee_1,290,80,96
coffee_1,290,27,0
coffee_1,290,35,100
coffee_1,290,43,46
coffee_1,290,95,55
coffee_1,290,44,33
coffee_1,300,83,72
coffee_1,300,28,18
coffee_1,300,77,98
coffee_1,300,38,54
coffee_1,300,56,74
coffee_1,300,29,30
coffee_1,300,56,93
coffee_1,300,80,69
coffee_1,300,16,0
coffee_1,300,26,0
coffee_1,310,99,34
coffee_1,310,58,51
coffee_1,310,30,12
coffee_1,310,89,47
coffee_1,310,10,0
coffee_1,310,84,55
coffee_1,310,76,65
coffee_1,310,34,100
coffee_1,310,94,66
coffee_1,310,66,56
coffee_1,320,88,74
coffee_1,320,33,81
coffee_1,320,37,100
coffee_1,320,81,77
coffee_1,320,30,51
coffee_1,320,91,44
coffee_1,320,21,0
coffee_1,320,96,65
coffee_1,320,73,53
coffee_1,320,93,64
coffee_1,330,98,65
coffee_1,330,58,76
coffee_1,330,27,0
coffee_1,330,13,0
coffee_1,330,92,43
coffee_1,330,39,48
coffee_1,330,41,100
coffee_1,330,31,7
coffee_1,330,37,100
coffee_1,330,77,80
coffee_1,340,26,5
coffee_1,340,15,0
coffee_1,340,10,0
coffee_1,340,85,66
coffee_1,340,64,93
coffee_1,340,95,59
coffee_1,340,40,100
coffee_1,340,12,11
coffee_1,340,44,29
coffee_1,340,68,67
coffee_1,350,67,74
coffee_1,350,86,54
coffee_1,350,41,100
coffee_1,350,10,0
coffee_1,350,62,97
coffee_1,350,54,66
coffee_1,350,39,100
coffee_1,350,11,4
coffee_1,350,72,83
coffee_1,350,27,0
coffee_1,360,22,0
coffee_1,360,91,67
coffee_1,360,79,70
coffee_1,360,59,100
coffee_1,360,96,39
coffee_1,360,90,62
coffee_1,360,59,57
coffee_1,360,92,59
coffee_1,360,49,0
coffee_1,360,16,0
coffee_1,370,91,55
coffee_1,370,12,15
coffee_1,370,56,65
coffee_1,370,18,0
coffee_1,370,67,66
coffee_1,370,10,0
coffee_1,370,54,24
coffee_1,370,43,30
coffee_1,370,43,37
coffee_1,370,40,95
coffee_1,380,21,0
coffee_1,380,45,57
coffee_1,380,51,22
coffee_1,380,87,65
coffee_1,380,23,0
coffee_1,380,72,97
coffee_1,380,77,66
coffee_1,380,59,42
coffee_1,380,44,34
coffee_1,380,39,100
coffee_1,390,78,56
coffee_1,390,79,56
coffee_1,390,37,89
coffee_1,390,16,0
coffee_1,390,50,41
coffee_1,390,47,47
coffee_1,390,55,74
coffee_1,390,16,0
coffee_1,390,70,66
coffee_1,390,41,100
coffee_1,400,22,0
coffee_1,400,23,0
coffee_1,400,22,0
coffee_1,400,21,16
coffee_1,400,47,26
coffee_1,400,31,16
coffee_1,400,66,81
coffee_1,400,87,59
coffee_1,400,37,96
coffee_1,400,42,72
coffee_1,410,16,0
coffee_1,410,12,0
coffee_1,410,25,0
coffee_1,410,16,0
coffee_1,410,64,53
coffee_1,410,91,60
coffee_1,410,70,62
coffee_1,410,34,35
coffee_1,410,73,56
coffee_1,410,68,63
coffee_1,420,86,60
coffee_1,420,60,45
coffee_1,420,78,75
coffee_1,420,58,78
coffee_1,420,56,46
coffee_1,420,46,31
coffee_1,420,84,58
coffee_1,420,36,30
coffee_1,420,12,0
coffee_1,420,30,25
coffee_1,430,17,0
coffee_1,430,30,10
coffee_1,430,28,19
coffee_1,430,33,28
coffee_1,430,32,42
coffee_1,430,56,67
coffee_1,430,64,86
coffee_1,430,26,0
coffee_1,430,39,78
coffee_1,430,67,69
coffee_1,440,54,40
coffee_1,440,16,0
coffee_1,440,43,49
coffee_1,440,67,68
coffee_1,440,47,19
coffee_1,440,52,35
coffee_1,440,60,55
coffee_1,440,82,64
coffee_1,440,10,0
coffee_1,440,9,8
coffee_1,450,62,79
coffee_1,450,95,66
coffee_1,450,94,70
coffee_1,450,58,63
coffee_1,450,95,63
coffee_1,450,7,9
coffee_1,450,44,31
coffee_1,450,45,29
coffee_1,450,40,42
coffee_1,450,23,0
coffee_1,460,16,4
coffee_1,460,68,68
coffee_1,460,10,0
coffee_1,460,17,37
coffee_1,460,52,71
coffee_1,460,87,64
coffee_1,460,82,60
coffee_1,460,33,46
coffee_1,460,57,74
coffee_1,460,41,59
coffee_1,470,88,81
coffee_1,470,58,59
coffee_1,470,24,18
coffee_1,470,69,79
coffee_1,470,66,81
coffee_1,470,32,29
coffee_1,470,51,67
coffee_1,470,31,26
