Epoch,Answer,Prediction
coffee_1,10,94,51
coffee_1,10,98,29
coffee_1,10,50,100
coffee_1,10,95,51
coffee_1,10,74,100
coffee_1,10,52,100
coffee_1,10,97,32
coffee_1,10,84,55
coffee_1,10,33,100
coffee_1,10,52,100
coffee_1,20,96,58
coffee_1,20,65,100
coffee_1,20,59,100
coffee_1,20,30,100
coffee_1,20,45,100
coffee_1,20,55,100
coffee_1,20,46,100
coffee_1,20,61,100
coffee_1,20,83,100
coffee_1,20,40,100
coffee_1,30,34,100
coffee_1,30,89,100
coffee_1,30,44,100
coffee_1,30,70,100
coffee_1,30,50,100
coffee_1,30,88,100
coffee_1,30,95,100
coffee_1,30,66,100
coffee_1,30,63,100
coffee_1,30,87,100
coffee_1,40,93,48
coffee_1,40,66,100
coffee_1,40,84,100
coffee_1,40,61,100
coffee_1,40,78,100
coffee_1,40,51,100
coffee_1,40,49,100
coffee_1,40,29,100
coffee_1,40,69,100
coffee_1,40,52,100
coffee_1,50,33,100
coffee_1,50,57,100
coffee_1,50,68,100
coffee_1,50,34,100
coffee_1,50,44,100
coffee_1,50,35,100
coffee_1,50,76,100
coffee_1,50,78,100
coffee_1,50,26,100
coffee_1,50,62,100
coffee_1,60,60,100
coffee_1,60,56,100
coffee_1,60,45,100
coffee_1,60,40,100
coffee_1,60,78,100
coffee_1,60,92,49
coffee_1,60,92,100
coffee_1,60,38,100
coffee_1,60,77,100
coffee_1,60,31,100
coffee_1,70,27,100
coffee_1,70,94,100
coffee_1,70,37,100
coffee_1,70,96,83
coffee_1,70,31,100
coffee_1,70,86,100
coffee_1,70,76,100
coffee_1,70,55,100
coffee_1,70,52,100
coffee_1,70,85,100
coffee_1,80,54,100
coffee_1,80,46,100
coffee_1,80,45,100
coffee_1,80,41,100
coffee_1,80,71,100
coffee_1,80,41,100
coffee_1,80,93,57
coffee_1,80,88,100
coffee_1,80,92,55
coffee_1,80,71,100
coffee_1,90,93,100
coffee_1,90,48,100
coffee_1,90,93,100
coffee_1,90,66,100
coffee_1,90,45,100
coffee_1,90,57,100
coffee_1,90,62,100
coffee_1,90,62,100
coffee_1,90,78,100
