TestFile,Epoch,Answer,Prediction
1_mp3,10,6,0
1_mp3,10,46,1
1_mp3,10,46,2
1_mp3,10,16,1
1_mp3,10,46,1
1_mp3,10,6,0
1_mp3,10,24,0
1_mp3,10,23,2
1_mp3,10,91,1
1_mp3,10,52,1
1_mp3,20,39,39
1_mp3,20,45,38
1_mp3,20,22,54
1_mp3,20,32,96
1_mp3,20,14,13
1_mp3,20,98,15
1_mp3,20,43,52
1_mp3,20,19,19
1_mp3,20,96,34
1_mp3,20,39,100
1_mp3,30,72,21
1_mp3,30,37,93
1_mp3,30,82,6
1_mp3,30,84,16
1_mp3,30,95,25
1_mp3,30,46,93
1_mp3,30,7,15
1_mp3,30,89,11
1_mp3,30,95,9
1_mp3,30,65,10
1_mp3,40,31,100
1_mp3,40,14,66
1_mp3,40,70,75
1_mp3,40,66,100
1_mp3,40,56,55
1_mp3,40,12,40
1_mp3,40,99,39
1_mp3,40,16,49
1_mp3,40,41,43
1_mp3,40,24,100
1_mp3,50,79,4
1_mp3,50,16,42
1_mp3,50,79,11
1_mp3,50,30,33
1_mp3,50,26,83
1_mp3,50,53,33
1_mp3,50,96,16
1_mp3,50,20,17
1_mp3,50,34,71
1_mp3,50,24,28
1_mp3,60,70,12
1_mp3,60,69,13
1_mp3,60,98,13
1_mp3,60,19,5
1_mp3,60,15,7
1_mp3,60,57,18
1_mp3,60,49,32
1_mp3,60,83,11
1_mp3,60,89,5
1_mp3,60,48,29
1_mp3,70,71,100
1_mp3,70,36,100
1_mp3,70,50,100
1_mp3,70,14,100
1_mp3,70,93,100
1_mp3,70,88,100
1_mp3,70,54,100
1_mp3,70,14,100
1_mp3,70,30,100
1_mp3,70,84,100
1_mp3,80,65,100
1_mp3,80,25,100
1_mp3,80,22,100
1_mp3,80,41,100
1_mp3,80,28,100
1_mp3,80,50,100
1_mp3,80,52,100
1_mp3,80,67,100
1_mp3,80,74,100
1_mp3,80,58,100
1_mp3,90,8,100
1_mp3,90,16,100
1_mp3,90,55,100
1_mp3,90,55,100
1_mp3,90,20,100
1_mp3,90,98,100
1_mp3,90,53,100
1_mp3,90,57,100
1_mp3,90,64,100
1_mp3,90,83,100
1_mp3,100,89,100
1_mp3,100,16,100
1_mp3,100,84,100
1_mp3,100,87,100
1_mp3,100,9,100
1_mp3,100,53,100
1_mp3,100,48,100
1_mp3,100,62,100
1_mp3,100,48,100
1_mp3,100,16,100
1_mp3,110,23,100
1_mp3,110,69,100
1_mp3,110,89,100
1_mp3,110,91,100
1_mp3,110,78,100
1_mp3,110,55,100
1_mp3,110,40,100
1_mp3,110,87,100
1_mp3,110,34,100
1_mp3,110,92,100
1_mp3,120,84,100
1_mp3,120,59,100
1_mp3,120,96,100
1_mp3,120,7,100
1_mp3,120,6,100
1_mp3,120,99,100
1_mp3,120,30,100
1_mp3,120,44,100
1_mp3,120,15,100
1_mp3,120,56,100
1_mp3,130,78,100
1_mp3,130,8,100
1_mp3,130,87,100
1_mp3,130,95,100
1_mp3,130,98,100
1_mp3,130,38,100
1_mp3,130,52,100
1_mp3,130,80,100
1_mp3,130,55,100
1_mp3,130,19,100
1_mp3,140,91,100
1_mp3,140,54,100
1_mp3,140,27,100
1_mp3,140,41,100
1_mp3,140,40,100
1_mp3,140,55,100
1_mp3,140,88,100
1_mp3,140,21,100
1_mp3,140,64,100
1_mp3,140,42,100
1_mp3,150,92,100
1_mp3,150,27,100
1_mp3,150,93,100
1_mp3,150,87,100
1_mp3,150,71,100
1_mp3,150,71,100
1_mp3,150,85,100
1_mp3,150,78,100
1_mp3,150,88,100
1_mp3,150,79,100
1_mp3,160,82,100
1_mp3,160,59,100
1_mp3,160,80,100
1_mp3,160,91,100
1_mp3,160,95,100
1_mp3,160,49,100
1_mp3,160,16,100
1_mp3,160,4,100
1_mp3,160,12,100
1_mp3,160,56,100
1_mp3,170,52,100
1_mp3,170,66,100
1_mp3,170,63,100
1_mp3,170,43,100
1_mp3,170,18,100
1_mp3,170,80,100
1_mp3,170,23,100
1_mp3,170,35,100
1_mp3,170,38,100
1_mp3,170,10,100
1_mp3,180,76,100
1_mp3,180,83,100
1_mp3,180,56,100
1_mp3,180,26,100
1_mp3,180,66,100
1_mp3,180,94,100
1_mp3,180,40,100
1_mp3,180,46,100
1_mp3,180,34,100
1_mp3,180,66,100
1_mp3,190,83,100
1_mp3,190,21,100
1_mp3,190,87,100
1_mp3,190,47,100
1_mp3,190,46,100
1_mp3,190,69,100
1_mp3,190,62,100
1_mp3,190,59,100
1_mp3,190,82,100
1_mp3,190,20,100
