date,type,subType,value
20240221-225714,slowHeadTilting,right,1
20240221-225715,slowHeadTilting,right,-1
20240221-225716,slowHeadTilting,forward,1
20240221-225718,slowHeadTilting,forward,-1
20240221-225720,slowHeadTilting,forward,1
20240221-225720,slowHeadTilting,forward,-1
20240221-225725,slowHeadTilting,right,1
20240221-225728,slowHeadTilting,right,-1
20240221-225731,slowHeadTilting,right,1
20240221-225731,slowHeadTilting,right,-1
20240221-225732,slowHeadTilting,right,1
20240221-225732,slowHeadTilting,forward,1
20240221-225734,slowHeadTilting,forward,-1
20240221-225740,slowHeadTilting,right,-1
20240221-225748,slowHeadTilting,right,1
20240221-225755,slowHeadTilting,right,-1
20240221-225755,slowHeadTilting,right,1
20240221-225755,slowHeadTilting,right,-1
20240221-225755,slowHeadTilting,right,1
20240221-225756,slowHeadTilting,right,-1
20240221-225757,slowHeadTilting,forward,1
20240221-225758,slowHeadTilting,right,1
20240221-225758,slowHeadTilting,forward,-1

