date,type,subType,value
20240221-230403,slowHeadTilting,backward,1
20240221-230404,slowHeadTilting,backward,-1
20240221-230405,slowHeadTilting,forward,1
20240221-230405,slowHeadTilting,forward,-1
20240221-230411,slowHeadTilting,right,1
20240221-230418,slowHeadTilting,forward,1
20240221-230418,slowHeadTilting,forward,-1
20240221-230420,slowHeadTilting,forward,1
20240221-230423,slowHeadTilting,forward,-1
20240221-230423,slowHeadTilting,forward,1
20240221-230423,slowHeadTilting,forward,-1
20240221-230425,slowHeadTilting,forward,1
20240221-230425,slowHeadTilting,forward,-1
20240221-230426,slowHeadTilting,forward,1
20240221-230426,slowHeadTilting,forward,-1
20240221-230427,slowHeadTilting,right,-1
20240221-230434,slowHeadTilting,right,1
20240221-230439,slowHeadTilting,right,-1
20240221-230445,slowHeadTilting,right,1
20240221-230445,slowHeadTilting,right,-1
20240221-230445,slowHeadTilting,right,1
20240221-230446,slowHeadTilting,right,-1
20240221-230446,slowHeadTilting,right,1
20240221-230450,slowHeadTilting,right,-1
20240221-230457,slowHeadTilting,right,1

