date,type,subType,value
20240221-225800,slowHeadTilting,right,-1
20240221-225800,slowHeadTilting,right,1
20240221-225800,slowHeadTilting,right,-1
20240221-225802,slowHeadTilting,forward,1
20240221-225803,slowHeadTilting,right,1
20240221-225803,slowHeadTilting,forward,-1
20240221-225805,slowHeadTilting,right,-1
20240221-225812,slowHeadTilting,forward,1
20240221-225813,slowHeadTilting,forward,-1
20240221-225816,slowHeadTilting,forward,1
20240221-225817,slowHeadTilting,forward,-1
20240221-225819,slowHeadTilting,right,1
20240221-225819,slowHeadTilting,right,-1
20240221-225828,slowHeadTilting,right,1
20240221-225828,slowHeadTilting,right,-1
20240221-225832,slowHeadTilting,right,1
20240221-225834,slowHeadTilting,right,-1
20240221-225837,slowHeadTilting,right,1
20240221-225839,slowHeadTilting,right,-1
20240221-225839,slowHeadTilting,right,1
20240221-225843,slowHeadTilting,right,-1

