Filename	Groundtruth	EPOCH100	EPOCH200	EPOCH300	EPOCH400	EPOCH500	EPOCH600	EPOCH700	EPOCH800	EPOCH900	EPOCH1000	
subject1_file_622	0	2	1	1	1	1	1	1	1	2	2	
subject1_file_869	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_807	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_463	0	1	1	0	0	2	0	0	0	1	1	
subject1_file_830	0	1	2	2	2	2	2	2	2	2	2	
subject1_file_272	0	1	2	2	2	2	2	2	2	1	1	
subject1_file_382	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_588	0	0	0	0	0	0	0	0	0	0	0	
subject1_file_140	0	2	2	2	2	2	2	2	2	2	2	
subject1_file_213	0	0	1	2	2	2	2	2	2	0	0	
subject1_file_685	0	0	0	0	1	1	1	1	1	0	0	
subject1_file_389	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_247	0	1	2	2	2	2	2	2	2	1	2	
subject1_file_808	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_238	0	1	1	0	0	0	0	0	0	1	1	
subject1_file_985	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_499	0	0	1	1	1	1	1	1	1	1	1	
subject1_file_980	0	1	1	1	1	1	0	2	2	1	1	
subject1_file_310	0	0	0	0	0	0	2	2	2	0	0	
subject1_file_793	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_618	0	1	1	1	1	1	1	1	1	0	0	
subject1_file_780	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_313	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_958	0	1	1	2	2	1	1	1	1	1	1	
subject1_file_98	0	0	1	1	1	1	1	1	1	2	2	
subject1_file_424	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_964	0	2	1	2	1	1	2	2	1	1	1	
subject1_file_884	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_263	0	2	0	1	1	1	1	1	1	1	1	
subject1_file_784	0	1	1	1	1	1	1	1	1	1	2	
subject1_file_684	0	1	1	1	2	2	2	2	2	2	2	
subject1_file_968	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_786	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_243	0	2	1	1	1	1	1	1	1	1	2	
subject1_file_957	0	1	1	1	1	1	1	1	1	1	1	
subject1_file_319	0	1	2	2	2	2	2	2	2	2	2	
subject1_file_853	0	1	1	1	1	1	2	2	2	1	1	
subject1_file_11	0	2	2	0	0	0	0	2	2	0	0	
subject1_file_814	0	1	1	1	2	2	1	1	1	1	1	
subject1_file_873	1	1	1	1	1	1	1	1	1	2	2	
subject1_file_513	1	1	1	1	1	1	1	1	1	1	1	
subject1_file_721	1	1	1	0	0	0	1	1	1	1	1	
subject1_file_204	1	1	1	1	1	0	1	1	1	1	1	
subject1_file_768	1	1	1	1	1	1	1	1	1	1	1	
subject1_file_254	1	1	1	1	1	1	1	1	1	1	1	
subject1_file_536	1	1	1	1	2	2	1	2	2	1	1	
subject1_file_96	1	1	1	1	1	0	1	1	1	1	1	
subject1_file_37	1	1	1	1	1	1	1	1	1	1	1	
subject1_file_281	1	0	1	1	1	1	1	1	1	1	1	
subject1_file_849	1	1	1	1	1	1	1	1	1	1	1	
subject1_file_485	1	1	1	0	1	1	1	1	1	1	1	
subject1_file_496	1	1	1	1	1	1	1	1	1	1	0	
subject1_file_564	1	1	1	2	2	1	1	1	1	2	2	
subject1_file_871	1	1	1	1	1	1	1	1	1	1	1	
subject1_file_743	1	1	1	2	2	1	1	1	1	1	1	
subject1_file_417	2	1	1	1	1	1	1	1	1	0	0	
subject1_file_39	2	1	0	0	0	0	1	0	1	1	0	
subject1_file_858	2	1	0	0	0	0	0	0	0	1	1	
subject1_file_353	2	0	0	0	0	0	1	0	0	0	1	
subject1_file_979	2	0	0	0	0	0	0	0	0	0	0	
subject1_file_348	2	1	0	0	0	1	1	0	1	1	1	
subject1_file_302	2	1	1	1	1	1	1	1	1	1	1	
subject1_file_570	2	0	0	0	0	0	0	0	0	0	0	
subject1_file_162	2	0	0	0	0	0	0	0	0	0	0	
subject1_file_969	2	0	0	0	0	0	0	0	0	0	0	
subject1_file_72	2	0	0	0	0	0	0	0	0	0	0	
subject1_file_734	2	0	0	0	0	0	0	0	0	0	0	
subject1_file_759	2	0	0	0	0	0	0	0	0	0	0	
subject1_file_320	2	0	0	0	0	1	1	1	0	0	0	
subject1_file_385	2	0	0	0	0	0	0	0	0	0	0	
subject1_file_430	2	1	1	0	0	0	1	1	1	1	1	
subject1_file_526	2	0	0	0	0	0	0	0	0	1	0	
subject1_file_976	2	0	0	0	0	0	0	0	0	2	0	
subject1_file_309	2	0	0	0	0	0	0	0	0	0	0	
subject1_file_45	2	0	0	0	0	0	0	0	0	0	0	
subject1_file_770	2	0	2	0	0	0	2	2	2	0	2	
subject1_file_211	2	1	1	1	1	1	1	1	1	1	1	
subject1_file_713	2	1	1	1	1	1	1	1	1	2	0	
subject1_file_462	2	1	1	1	1	1	1	1	1	1	2	
subject1_file_287	2	1	1	1	1	1	1	1	1	1	1	
Total Train loss	-----	0.5343228578567505	0.15979602932929993	0.028244871646165848	0.009367652237415314	0.0076897237449884415	0.004443363286554813	0.002577531849965453	0.0014784118393436074	0.09231460839509964	0.011646769009530544	
Train Accuracy	-----	0.8461538461538461	0.9519230769230769	1.0	1.0	1.0	1.0	1.0	1.0	0.9711538461538461	1.0	
Training time	-----	0:01:28.363236	0:01:29.621893	0:01:30.288204	0:01:30.062652	0:01:30.019691	0:01:31.043594	0:01:31.557821	0:01:30.908191	0:01:30.000744	0:01:29.833119	
Total Test loss	-----	1.7420743703842163	2.920963764190674	3.679274797439575	4.333132743835449	4.76095724105835	5.141951560974121	5.370471954345703	5.460129737854004	4.8925461769104	5.191378593444824	
Test Accuracy	-----	0.2625	0.2625	0.225	0.2125	0.2	0.275	0.2375	0.2375	0.275	0.2625	
Testing time	-----	0:04:10.051380	0:04:18.071827	0:04:16.449644	0:04:15.889247	0:04:16.325192	0:04:18.330811	0:04:16.909410	0:04:16.959289	0:04:16.127228	0:04:16.521099	
threshold sigmoid train	-----	---	---	---	---	---	---	---	---	---	---	
threshold sigmoid test	-----	---	---	---	---	---	---	---	---	---	---	
