TestFile,Diff
1_mp3,15.60591796875
2_mp3,15.879501953125
3_mp3,10.772625
4_mp3,11.0493935546875
5_mp3,11.225859375
6_mp3,12.3442353515625
7_mp3,10.15393359375
8_mp3,9.123580078125
9_mp3,9.202134765625
10_mp3,10.3810107421875
11_mp3,16.74349609375
12_mp3,16.8255859375
13_mp3,17.246234375
14_mp3,15.77644140625
15_mp3,12.475724609375
16_mp3,17.606298828125
17_mp3,13.9640322265625
18_mp3,16.95646875
19_mp3,17.807701171875
20_mp3,15.864251953125
21_mp3,15.7392607421875
22_mp3,17.861720703125
23_mp3,7.66423828125
24_mp3,10.8106728515625
25_mp3,7.6381455078125
26_mp3,8.287373046875
27_mp3,7.394095703125
28_mp3,7.9916357421875
29_mp3,8.639708984375
30_mp3,12.42401953125
31_mp3,17.776666015625
(Avg.)shampoo,12.878450478830644
