TestFile,Diff
1_mp3,14.08208630122628
2_mp3,10.410288320997209
3_mp3,6.513654211349296
4_mp3,26.500678941382017
5_mp3,33.088152163458744
6_mp3,15.118711223827546
7_mp3,15.555835700374463
8_mp3,28.490343802122982
9_mp3,20.184174289297964
10_mp3,26.832319175697172
11_mp3,19.982045245912637
12_mp3,14.238244760318718
13_mp3,7.45561003791496
14_mp3,13.78049599460582
15_mp3,13.201909462691154
16_mp3,9.073829052025948
17_mp3,19.451962075791766
18_mp3,17.299429715413517
19_mp3,12.210250487871003
20_mp3,12.862751100828763
21_mp3,10.407878214596783
22_mp3,19.295526573312436
23_mp3,17.528671408680125
24_mp3,19.686174093162784
25_mp3,11.518405093718851
26_mp3,15.597652860764516
27_mp3,15.705525786181312
28_mp3,10.533476269833221
29_mp3,20.88833739171787
30_mp3,20.29315730859367
31_mp3,21.155406712870096
(Avg.)shampoo,16.740096250856116
