,1,2,3,4,5,6,7,8,9,10,accuracy,macro avg,weighted avg
precision,0.0,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.5,0.14285714285714285,0.0,0.08,0.18095238095238092,0.18095238095238092
recall,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.08,0.08,0.08
f1-score,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.1818181818181818,0.28571428571428575,0.16666666666666666,0.0,0.08,0.09675324675324676,0.09675324675324676
support,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.08,50.0,50.0
