,1,2,3,4,5,6,7,8,9,10,accuracy,macro avg,weighted avg
precision,0.05555555555555555,0.0,0.1,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.08,0.048888888888888885,0.048888888888888885
recall,0.2,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.08,0.08,0.08
f1-score,0.08695652173913045,0.0,0.13333333333333333,0.0,0.0,0.0,0.3636363636363636,0.0,0.0,0.0,0.08,0.05839262187088275,0.05839262187088273
support,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.08,50.0,50.0
