date,type,subType,value
20240221-205836,slowHeadTilting,right,1
20240221-205839,slowHeadTilting,right,-1
20240221-205847,slowHeadTilting,forward,1
20240221-205847,slowHeadTilting,forward,-1
20240221-205849,slowHeadTilting,forward,1
20240221-205849,slowHeadTilting,forward,-1
20240221-205859,slowHeadTilting,right,1
20240221-205859,slowHeadTilting,right,-1

