Filename,Window,Answer,Prediction,Output
fujii_drunk_exam_type_1_20240617_211836_gaze.csv,7394068609,drunk,drunk,"[0.69675094, 0.28623322]"
fujii_drunk_exam_type_1_20240617_212024_gaze.csv,7504612893,drunk,drunk,"[0.70186967, 0.29970923]"
fujii_drunk_exam_type_1_20240618_001911_gaze.csv,106843187,drunk,drunk,"[0.5731161, 0.39917323]"
fujii_drunk_exam_type_1_20240618_002120_gaze.csv,231313037,drunk,sober,"[0.10434447, 0.8950304]"
fujii_drunk_exam_type_1_20240621_222214_gaze.csv,19170340008,drunk,drunk,"[0.79527617, 0.19817995]"
fujii_drunk_exam_type_1_20240621_222417_gaze.csv,19297697480,drunk,drunk,"[0.6828588, 0.28160322]"
fujii_drunk_exam_type_1_20240622_001349_gaze.csv,25870663690,drunk,drunk,"[0.51427263, 0.35951617]"
fujii_drunk_exam_type_1_20240622_001525_gaze.csv,25963437646,drunk,sober,"[0.34604883, 0.6287032]"
fujii_drunk_exam_type_2_20240617_211939_gaze.csv,7437988891,drunk,drunk,"[0.66304857, 0.2842817]"
fujii_drunk_exam_type_2_20240617_212122_gaze.csv,7546280891,drunk,drunk,"[0.7344337, 0.2748348]"
fujii_drunk_exam_type_2_20240618_002020_gaze.csv,151738003,drunk,drunk,"[0.66261154, 0.43052456]"
fujii_drunk_exam_type_2_20240618_002222_gaze.csv,275324479,drunk,drunk,"[0.67873025, 0.29097307]"
fujii_drunk_exam_type_2_20240621_222333_gaze.csv,19217055915,drunk,drunk,"[0.6724898, 0.27908143]"
fujii_drunk_exam_type_2_20240621_222523_gaze.csv,19339840004,drunk,drunk,"[0.6291755, 0.36173078]"
fujii_drunk_exam_type_2_20240621_233422_gaze.csv,23487858113,drunk,drunk,"[0.7691573, 0.20471671]"
fujii_drunk_exam_type_2_20240621_233641_gaze.csv,23628016353,drunk,drunk,"[0.66308576, 0.30752727]"
fujii_drunk_exam_type_2_20240622_001443_gaze.csv,25910609243,drunk,drunk,"[0.476527, 0.43413526]"
fujii_drunk_exam_type_2_20240622_001618_gaze.csv,26004627956,drunk,drunk,"[0.5398485, 0.38997135]"
fujii_sober_exam_type_1_20240617_192322_gaze.csv,483165841,sober,drunk,"[0.60561484, 0.38472652]"
fujii_sober_exam_type_1_20240617_192514_gaze.csv,593313366,sober,sober,"[0.03731444, 0.9668104]"
fujii_sober_exam_type_1_20240617_193818_gaze.csv,1379496044,sober,sober,"[0.07092002, 0.9365617]"
fujii_sober_exam_type_1_20240617_194023_gaze.csv,1503795705,sober,sober,"[0.07937518, 0.91580737]"
fujii_sober_exam_type_1_20240621_170607_gaze.csv,208181826,sober,sober,"[0.07937518, 0.91580737]"
fujii_sober_exam_type_1_20240621_170827_gaze.csv,346782321,sober,sober,"[0.036947265, 0.96701205]"
fujii_sober_exam_type_1_20240621_183402_gaze.csv,5485197584,sober,sober,"[0.039176874, 0.96545213]"
fujii_sober_exam_type_1_20240621_183546_gaze.csv,5587717577,sober,sober,"[0.13141789, 0.8913659]"
fujii_sober_exam_type_1_20240622_122909_gaze.csv,69989572966,sober,sober,"[0.34697726, 0.6441014]"
fujii_sober_exam_type_1_20240622_123045_gaze.csv,70088134058,sober,sober,"[0.036863297, 0.96716154]"
fujii_sober_exam_type_2_20240617_192433_gaze.csv,523173882,sober,sober,"[0.03686344, 0.96716154]"
fujii_sober_exam_type_2_20240617_192625_gaze.csv,641050471,sober,drunk,"[0.66304857, 0.2842817]"
fujii_sober_exam_type_2_20240617_193921_gaze.csv,1423103047,sober,sober,"[0.036948565, 0.96707267]"
fujii_sober_exam_type_2_20240617_194137_gaze.csv,1550992557,sober,sober,"[0.16406535, 0.8613307]"
fujii_sober_exam_type_2_20240621_170744_gaze.csv,294505009,sober,sober,"[0.38053453, 0.63276076]"
fujii_sober_exam_type_2_20240621_170923_gaze.csv,387165323,sober,sober,"[0.036863573, 0.96716166]"
fujii_sober_exam_type_2_20240621_183507_gaze.csv,5522966267,sober,sober,"[0.036863457, 0.96716166]"
fujii_sober_exam_type_2_20240621_183633_gaze.csv,5624760265,sober,sober,"[0.08956577, 0.90646]"
fujii_sober_exam_type_2_20240622_123005_gaze.csv,70030642496,sober,sober,"[0.42732856, 0.55716616]"
fujii_sober_exam_type_2_20240622_123150_gaze.csv,70132294107,sober,sober,"[0.1252206, 0.899144]"
(Accuracy),0.8947368421052632
