Filename,Window,Answer,Prediction
20240408_232156_1000213414.csv,1000213414,1,0
20240408_232156_1020215573.csv,1020215573,1,1
20240408_232156_1040217710.csv,1040217710,1,0
20240408_232156_1060219862.csv,1060219862,1,0
20240408_232156_1080221979.csv,1080221979,1,1
20240408_232156_1100224119.csv,1100224119,1,1
20240408_232156_1120226270.csv,1120226270,1,1
20240408_232156_1140228392.csv,1140228392,1,0
20240408_232156_1160230607.csv,1160230607,1,1
20240408_232156_1180247025.csv,1180247025,1,1
20240408_232156_1200249159.csv,1200249159,1,1
20240408_232156_1220251248.csv,1220251248,1,1
20240408_232156_1240253344.csv,1240253344,1,1
20240408_232156_1260269661.csv,1260269661,1,0
20240408_232156_1280271991.csv,1280271991,1,0
20240408_232156_1300274032.csv,1300274032,1,1
20240408_232156_1320276206.csv,1320276206,1,0
20240408_232156_1340276825.csv,1340276825,1,1
20240408_232156_1360278894.csv,1360278894,1,0
20240408_232156_1380281084.csv,1380281084,1,1
20240408_232156_1400283153.csv,1400283153,1,1
20240408_232156_1420285390.csv,1420285390,1,1
20240408_232156_1440287400.csv,1440287400,1,1
20240408_232156_1460289500.csv,1460289500,1,1
20240408_232156_1480291641.csv,1480291641,1,0
20240408_232156_1500293841.csv,1500293841,1,1
20240408_232156_1520296093.csv,1520296093,1,1
20240408_232156_1540298237.csv,1540298237,1,0
20240408_232156_1560300305.csv,1560300305,1,1
20240408_232156_1580302389.csv,1580302389,1,1
20240408_232156_1600304565.csv,1600304565,1,1
20240408_232156_1620306756.csv,1620306756,1,0
20240408_232156_1640309016.csv,1640309016,1,0
20240408_232156_1660311069.csv,1660311069,1,0
20240408_232156_1680313170.csv,1680313170,1,1
20240408_232156_860198501.csv,860198501,1,0
20240408_232156_880200632.csv,880200632,1,0
20240408_232156_900202768.csv,900202768,1,0
20240408_232156_920204969.csv,920204969,1,1
20240408_232156_940207086.csv,940207086,1,0
20240408_232156_960209220.csv,960209220,1,1
20240408_232156_980211324.csv,980211324,1,1
20240407_163320_1000195318.csv,1000195318,0,0
20240407_163320_1020197597.csv,1020197597,0,1
20240407_163320_1040199844.csv,1040199844,0,0
20240407_163320_1060202039.csv,1060202039,0,0
20240407_163320_1080204275.csv,1080204275,0,0
20240407_163320_1100219739.csv,1100219739,0,1
20240407_163320_1120233281.csv,1120233281,0,0
20240407_163320_1140235581.csv,1140235581,0,0
20240407_163320_1160251897.csv,1160251897,0,0
20240407_163320_1180264180.csv,1180264180,0,1
20240407_163320_1200265049.csv,1200265049,0,0
20240407_163320_1220280535.csv,1220280535,0,0
20240407_163320_1240282872.csv,1240282872,0,0
20240407_163320_1260285130.csv,1260285130,0,1
20240407_163320_1280287348.csv,1280287348,0,0
20240407_163320_1300289602.csv,1300289602,0,1
20240407_163320_1320291846.csv,1320291846,0,0
20240407_163320_1340294127.csv,1340294127,0,1
20240407_163320_1360296404.csv,1360296404,0,0
20240407_163320_1380298553.csv,1380298553,0,0
20240407_163320_1400300111.csv,1400300111,0,0
20240407_163320_1420302690.csv,1420302690,0,1
20240407_163320_1440305261.csv,1440305261,0,1
20240407_163320_1460307840.csv,1460307840,0,1
20240407_163320_1480310346.csv,1480310346,0,1
20240407_163320_1500310870.csv,1500310870,0,1
20240407_163320_1520313129.csv,1520313129,0,1
20240407_163320_1540315384.csv,1540315384,0,1
20240407_163320_1560317598.csv,1560317598,0,0
20240407_163320_1580333818.csv,1580333818,0,0
20240407_163320_1600336070.csv,1600336070,0,0
20240407_163320_1620338370.csv,1620338370,0,1
20240407_163320_1640340665.csv,1640340665,0,1
20240407_163320_1660342875.csv,1660342875,0,1
20240407_163320_1680354789.csv,1680354789,0,1
20240407_163320_860179721.csv,860179721,0,0
20240407_163320_880181968.csv,880181968,0,1
20240407_163320_900184156.csv,900184156,0,0
20240407_163320_920186379.csv,920186379,0,0
20240407_163320_940188618.csv,940188618,0,0
20240407_163320_960190856.csv,960190856,0,1
20240407_163320_980193099.csv,980193099,0,0
(Accuracy),0.5714285714285714
