,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area_1,left_gaze_point_on_display_area_2,left_gaze_point_in_user_coordinate_system_1,left_gaze_point_in_user_coordinate_system_2,left_gaze_point_in_user_coordinate_system_3,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system_1,left_gaze_origin_in_user_coordinate_system_2,left_gaze_origin_in_user_coordinate_system_3,left_gaze_origin_in_trackbox_coordinate_system_1,left_gaze_origin_in_trackbox_coordinate_system_2,left_gaze_origin_in_trackbox_coordinate_system_3,left_gaze_origin_validity,right_gaze_point_on_display_area_1,right_gaze_point_on_display_area_2,right_gaze_point_in_user_coordinate_system_1,right_gaze_point_in_user_coordinate_system_2,right_gaze_point_in_user_coordinate_system_3,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system_1,right_gaze_origin_in_user_coordinate_system_2,right_gaze_origin_in_user_coordinate_system_3,right_gaze_origin_in_trackbox_coordinate_system_1,right_gaze_origin_in_trackbox_coordinate_system_2,right_gaze_origin_in_trackbox_coordinate_system_3,right_gaze_origin_validity
4,7546280891,106665812526,0.8824960589408875,-0.0024721752852201,211.1378326416016,312.1601257324219,106.7799835205078,1,7.0070648193359375,1,-47.69479370117188,-161.96673583984375,580.7817993164062,0.6091327667236328,0.8711386322975159,0.4096536934375763,1,0.9135231375694276,-0.0583821311593055,228.2647857666016,328.4732666015625,112.71746063232422,1,7.114761352539063,1,31.009138107299805,-163.57571411132812,581.4660034179688,0.4287618696689605,0.8743863701820374,0.4096632003784179,1
7,7546330811,106665862429,0.9360018372535706,-0.0259268786758184,240.6729888916016,319.0036315917969,109.2707748413086,1,7.0159912109375,1,-47.90424728393555,-161.89585876464844,580.784423828125,0.6096124649047852,0.8709744215011597,0.4096539318561554,1,0.9207151532173156,-0.0571152307093143,232.2347412109375,328.1036071777344,112.58294677734376,1,7.10504150390625,1,30.8336181640625,-163.38365173339844,581.52978515625,0.4291715621948242,0.8739054799079895,0.4096641838550567,1
10,7546380731,106665912341,0.8808208107948303,-0.0057863174006342,210.21311950683597,313.1271667480469,107.13186645507812,1,6.992446899414063,1,-47.92300796508789,-162.21768188476562,580.6925048828125,0.6096729040145874,0.8717712163925171,0.409652829170227,1,0.9019063711166382,-0.0570240579545497,221.8523101806641,328.0769958496094,112.5731964111328,1,7.09722900390625,1,30.70604705810547,-163.51272583007812,581.5,0.4294600784778595,0.8742202520370483,0.4096637070178985,1
13,7546430651,106665962261,0.8814973831176758,-0.0003276120114605,210.5865478515625,311.534423828125,106.55225372314452,1,6.98406982421875,1,-47.73599243164063,-162.2012176513672,580.7125244140625,0.6092402935028076,0.8717206120491028,0.409652829170227,1,0.917561948299408,-0.0447238124907016,230.4942321777344,324.4880676269531,111.26702880859376,1,7.07421875,1,30.7705192565918,-163.42808532714844,581.5205078125,0.4293149411678314,0.8740132451057434,0.4096638262271881,1
16,7546480571,106666012181,0.8569316267967224,-0.0076338001526892,197.02626037597656,313.66619873046875,107.32810974121094,1,6.95343017578125,1,-47.42224884033203,-162.39437866210938,580.6841430664062,0.6085261702537537,0.87218177318573,0.4096525907516479,1,0.886138916015625,-0.0393691807985305,213.148681640625,322.9257202148437,110.6983871459961,1,7.04583740234375,1,31.00311851501465,-163.66213989257812,581.44189453125,0.4287727177143097,0.8745998740196228,0.4096629619598388,1
19,7546530491,106666062096,0.8492903113365173,0.002436403883621,192.8082427978516,310.7279357910156,106.2586898803711,1,6.938491821289063,1,-46.98362350463867,-162.04782104492188,580.8175048828125,0.6074955463409424,0.8713017106056213,0.4096544086933136,1,0.8782528042793274,-0.0349093005061149,208.7955474853516,321.6244506835937,110.22473907470705,1,7.043380737304688,1,31.30630874633789,-163.46185302734375,581.482177734375,0.4280833005905151,0.8741152286529541,0.409663438796997,1
22,7546580411,106666112013,0.8483294248580933,-0.0031463678460568,192.27784729003903,312.3568725585937,106.85149383544922,1,6.92706298828125,1,-46.58245468139648,-162.15859985351562,580.8189086914062,0.6065755486488342,0.8715547919273376,0.4096544086933136,1,0.8907517194747925,-0.0333703644573688,215.6949462890625,321.17547607421875,110.06124877929688,1,7.033248901367188,1,31.590206146240234,-163.6326904296875,581.4183959960938,0.4274252355098724,0.8745476007461548,0.4096627235412597,1
25,7546630331,106666161929,0.8485020399093628,-0.0004801197501365,192.3731231689453,311.5788879394531,106.56845092773438,1,6.9288482666015625,1,-46.23328399658203,-161.57952880859375,581.009521484375,0.6057402491569519,0.8701056241989136,0.4096569716930389,1,0.8879204988479614,-0.02847770601511,214.1321258544922,319.7478942871094,109.54166412353516,1,7.0263671875,1,31.85626792907715,-163.07325744628906,581.56201171875,0.4268338978290558,0.8731740713119507,0.4096645414829254,1
28,7546680251,106666211862,0.8473155498504639,0.0220991782844066,191.7182159423828,304.9908752441406,104.17053985595705,1,6.907028198242188,1,-45.80185317993164,-161.32174682617188,581.1160278320312,0.6047322154045105,0.8694470524787903,0.4096584618091583,1,0.8923055529594421,-0.0194373875856399,216.5526428222656,317.1101379394531,108.5816650390625,1,7.020111083984375,1,32.17251205444336,-162.84779357910156,581.6080322265625,0.4261155724525451,0.8726283311843872,0.409665048122406,1
31,7546730171,106666261781,0.8467409610748291,0.0098710674792528,191.4010162353516,308.5587158203125,105.46916198730467,1,6.915924072265625,1,-45.30185317993164,-160.35675048828125,581.4244384765625,0.6035313606262207,0.8670408129692078,0.4096626043319702,1,0.8872832655906677,-0.0183317922055721,213.78038024902344,316.7875671386719,108.46421813964844,1,7.01617431640625,1,32.5810432434082,-161.89468383789062,581.8530883789062,0.425211638212204,0.8702899217605591,0.4096684455871582,1
34,7546780091,106666311718,0.8529555797576904,0.0124899642542004,194.8315277099609,307.7945861816406,105.19104766845705,1,6.91595458984375,1,-44.81620407104492,-160.08799743652344,581.536865234375,0.6023992300033569,0.8663544058799744,0.4096640646457672,1,0.8899173736572266,-0.0337243862450122,215.23439025878903,321.2787475585937,110.09882354736328,1,7.0077056884765625,1,33.06059265136719,-161.76011657714844,581.8635864257812,0.4241155087947845,0.8699753284454346,0.4096687138080597,1
37,7546830011,106666361637,0.859373927116394,-0.002611591713503,198.37440490722656,312.2008361816406,106.79479217529295,1,6.9229278564453125,1,-44.43098831176758,-159.8499755859375,581.6326904296875,0.601500391960144,0.8657490611076355,0.4096656441688537,1,0.8859148025512695,-0.0139350080862641,213.02496337890625,315.50469970703125,107.99727630615234,1,6.995285034179688,1,33.4636344909668,-161.58480834960938,581.889404296875,0.4231965243816376,0.8695577383041382,0.4096689522266388,1
40,7546879807,106666411423,0.860298752784729,-0.0049690376035869,198.8849639892578,312.8886413574219,107.045166015625,1,6.9250030517578125,1,-44.15772247314453,-160.1433563232422,581.5723876953125,0.6008852124214172,0.8664587736129761,0.4096648097038269,1,0.8949790000915527,-0.0317327901721,218.02838134765625,320.6976318359375,109.88738250732422,1,6.997772216796875,1,33.77228546142578,-161.97030639648438,581.7635498046875,0.4224734604358673,0.8705201148986816,0.4096673727035522,1
43,7546929723,106666461337,0.8606704473495483,-0.0008533193613402,199.0901031494141,311.6877746582031,106.60809326171876,1,6.928634643554688,1,-43.936317443847656,-159.92514038085938,581.6497802734375,0.6003649234771729,0.8659104704856873,0.4096660017967224,1,0.890792965888977,-0.034334760159254,215.7176971435547,321.4568176269531,110.16371154785156,1,6.994720458984375,1,34.05415725708008,-161.83168029785156,581.7858276367188,0.4218312501907348,0.8701886534690857,0.4096676111221313,1
