,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area_1,left_gaze_point_on_display_area_2,left_gaze_point_in_user_coordinate_system_1,left_gaze_point_in_user_coordinate_system_2,left_gaze_point_in_user_coordinate_system_3,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system_1,left_gaze_origin_in_user_coordinate_system_2,left_gaze_origin_in_user_coordinate_system_3,left_gaze_origin_in_trackbox_coordinate_system_1,left_gaze_origin_in_trackbox_coordinate_system_2,left_gaze_origin_in_trackbox_coordinate_system_3,left_gaze_origin_validity,right_gaze_point_on_display_area_1,right_gaze_point_on_display_area_2,right_gaze_point_in_user_coordinate_system_1,right_gaze_point_in_user_coordinate_system_2,right_gaze_point_in_user_coordinate_system_3,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system_1,right_gaze_origin_in_user_coordinate_system_2,right_gaze_origin_in_user_coordinate_system_3,right_gaze_origin_in_trackbox_coordinate_system_1,right_gaze_origin_in_trackbox_coordinate_system_2,right_gaze_origin_in_trackbox_coordinate_system_3,right_gaze_origin_validity
135,1423103047,100542698723,0.1301428526639938,1.4899684190750122,-204.16116333007807,-123.29615783691406,-51.71314239501953,1,7.8213348388671875,1,-69.5016860961914,-119.2961196899414,588.915283203125,0.6569313406944275,0.7695245742797852,0.4097656309604645,1,0.100978635251522,1.772688865661621,-220.2598114013672,-205.78677368164065,-81.73724365234375,1,8.154067993164062,1,18.185043334960938,-116.72572326660156,593.26513671875,0.4589589834213257,0.7617772817611694,0.409824937582016,1
138,1423152967,100542748643,0.2822893559932709,1.290466547012329,-120.17626953125,-65.0865249633789,-30.526554107666016,1,5.5552978515625,1,-49.432220458984375,-86.37702178955078,429.1465759277344,0.6531639099121094,0.7678028345108032,0.0810704976320266,1,0.3251717090606689,1.4029903411865234,-96.5052261352539,-97.91812896728516,-42.47631072998047,1,5.714279174804688,1,14.229640007019045,-84.65750122070312,431.6752624511719,0.4558812081813812,0.7609283924102783,0.0802565887570381,1
141,1423202851,100542798527,0.2932603061199188,1.2995193004608154,-114.1203155517578,-67.72786712646484,-31.48792266845703,1,5.505340576171875,1,-48.09251403808594,-86.04035949707031,429.9104919433594,0.6487417221069336,0.7662837505340576,0.0821311622858047,1,0.3147528767585754,1.3993415832519531,-102.25641632080078,-96.85347747802734,-42.08881759643555,1,5.685150146484375,1,15.682181358337402,-84.66616821289062,432.0428161621094,0.4514415562152862,0.7607329487800598,0.0810795277357101,1
144,1423252706,100542848383,0.2909137308597564,1.331120252609253,-115.4156265258789,-76.9482650756836,-34.84391403198242,1,5.485015869140625,1,-46.559226989746094,-85.60052490234375,430.5915832519531,0.6437642574310303,0.7645019292831421,0.0829594135284423,1,0.3105165362358093,1.3919821977615356,-104.59487915039062,-94.70623779296876,-41.3072395324707,1,5.648590087890625,1,17.368755340576172,-84.75543975830078,432.5461120605469,0.446305513381958,0.7607041597366333,0.0822274163365364,1
147,1423302594,100542898272,0.2336053699254989,1.3260117769241333,-147.04983520507812,-75.45774841308594,-34.30139923095703,1,5.423675537109375,1,-45.13207244873047,-85.2221450805664,430.92767333984375,0.6392418742179871,0.7631262540817261,0.0831724256277084,1,0.2521156668663025,1.368293523788452,-136.83216857910156,-87.79449462890625,-38.79163360595703,1,5.571197509765625,1,18.716577529907227,-84.70741271972656,432.402099609375,0.4421369135379791,0.7606431245803833,0.0820368006825447,1
153,1423402402,100542998084,0.236713096499443,1.3350350856781006,-145.33436584472656,-78.09051513671875,-35.25966262817383,1,5.311492919921875,1,-42.01012420654297,-84.75474548339844,432.6344299316406,0.6290823817253113,0.760648787021637,0.0857104510068893,1,0.2442680895328521,1.3389852046966553,-141.1639862060547,-79.24307250976562,-35.67914581298828,1,5.556198120117188,1,21.624927520751957,-84.94043731689453,433.843505859375,0.4334015846252441,0.760491669178009,0.085217960178852,1
310,1426061479,100545657155,0.7586594223976135,0.3801642954349518,142.77999877929688,200.5165557861328,66.14498901367188,1,7.666839599609375,1,-63.83834457397461,-118.94708251953124,589.6314697265625,0.643950343132019,0.7684086561203003,0.4097752571105957,1,0.7582851052284241,0.4567109048366546,142.57339477539062,178.18218994140625,58.01599884033203,1,7.70355224609375,1,22.492998123168945,-122.02933502197266,592.04052734375,0.4491849839687347,0.7742483019828796,0.409808337688446,1
313,1426111445,100545707118,0.5435175895690918,1.327315330505371,24.021690368652344,-75.83807373046875,-34.439815521240234,1,5.545928955078125,1,-48.11101913452149,-88.59407043457031,431.7824401855469,0.6481529474258423,0.7730040550231934,0.0867912024259567,1,0.5884758234024048,1.3745872974395752,48.838680267333984,-89.6308364868164,-39.4599723815918,1,5.6121673583984375,1,15.246929168701172,-90.5450210571289,434.3545227050781,0.4530331790447235,0.777367353439331,0.0879070460796356,1
316,1426161365,100545757035,0.5394285321235657,1.3256700038909912,21.764562606811523,-75.35801696777344,-34.26508331298828,1,5.6067962646484375,1,-48.63924789428711,-87.48948669433594,428.9966735839844,0.6507560610771179,0.7713496088981628,0.0810410156846046,1,0.5879912972450256,1.360932469367981,48.57120513916016,-85.64669036865234,-38.00986862182617,1,5.598602294921875,1,14.68935203552246,-89.36180114746094,432.054931640625,0.4545029103755951,0.7751980423927307,0.082887940108776,1
319,1426211170,100545806837,0.54761803150177,1.307090163230896,26.28517723083496,-69.9368896484375,-32.29197692871094,1,5.6443939208984375,1,-49.127349853515625,-86.89259338378906,429.5060119628906,0.6520903706550598,0.7691769599914551,0.0819053351879119,1,0.5945417284965515,1.357344627380371,52.18701171875,-84.59981536865234,-37.62882995605469,1,5.63311767578125,1,14.50499153137207,-88.6412124633789,432.6069641113281,0.4551281630992889,0.7726284861564636,0.0836660787463188,1
