,device_time_stamp,system_time_stamp,left_gaze_point_on_display_area_1,left_gaze_point_on_display_area_2,left_gaze_point_in_user_coordinate_system_1,left_gaze_point_in_user_coordinate_system_2,left_gaze_point_in_user_coordinate_system_3,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system_1,left_gaze_origin_in_user_coordinate_system_2,left_gaze_origin_in_user_coordinate_system_3,left_gaze_origin_in_trackbox_coordinate_system_1,left_gaze_origin_in_trackbox_coordinate_system_2,left_gaze_origin_in_trackbox_coordinate_system_3,left_gaze_origin_validity,right_gaze_point_on_display_area_1,right_gaze_point_on_display_area_2,right_gaze_point_in_user_coordinate_system_1,right_gaze_point_in_user_coordinate_system_2,right_gaze_point_in_user_coordinate_system_3,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system_1,right_gaze_origin_in_user_coordinate_system_2,right_gaze_origin_in_user_coordinate_system_3,right_gaze_origin_in_trackbox_coordinate_system_1,right_gaze_origin_in_trackbox_coordinate_system_2,right_gaze_origin_in_trackbox_coordinate_system_3,right_gaze_origin_validity
31,593313366,99712917249,0.7442631721496582,0.1927471458911895,134.833251953125,255.2001037597656,86.04818725585938,1,6.935317993164063,1,-60.70828628540039,-148.6400909423828,583.1431884765625,0.6384068131446838,0.839202880859375,0.4096865355968475,1,0.738193929195404,0.2745441794395447,131.48301696777344,231.3338165283203,77.36157989501953,1,7.112213134765625,1,21.617172241210938,-147.67779541015625,586.1607055664062,0.4506672024726867,0.8352693915367126,0.4097279012203216,1
34,593363286,99712967153,0.5310489535331726,1.1626068353652954,17.139015197753906,-27.78034782409668,-16.9482364654541,1,5.332931518554688,1,-48.9296989440918,-119.1916275024414,456.0149230957031,0.6426589488983154,0.8478344082832336,0.1477349251508712,1,0.5414730310440063,1.196921944618225,22.89311790466309,-37.79261779785156,-20.592424392700195,1,5.511398315429688,1,15.20610237121582,-118.1116180419922,458.2005310058594,0.4555844962596893,0.8430354595184326,0.1468459516763687,1
37,593413206,99713017066,0.5227740406990051,1.245935559272766,12.571250915527344,-52.09347534179688,-25.79753303527832,1,5.2182464599609375,1,-49.38790512084961,-118.3068389892578,450.7392578125,0.6456850171089172,0.8492942452430725,0.1372332721948623,1,0.5394425988197327,1.3261337280273438,21.772340774536133,-75.49324035644531,-34.314353942871094,1,5.4781341552734375,1,14.103371620178224,-117.0114288330078,452.99322509765625,0.4583181142807007,0.8437471389770508,0.1361483782529831,1
40,593463126,99713066986,0.5194774866104126,1.2284170389175415,10.751548767089844,-46.98210144042969,-23.93709754943848,1,5.1993255615234375,1,-49.45978546142578,-117.83811950683594,446.5238342285156,0.6472768783569336,0.8511960506439209,0.1289039254188537,1,0.5383448600769043,1.3205827474594116,21.16635513305664,-73.87371063232422,-33.7248649597168,1,5.42279052734375,1,13.449285507202148,-116.51481628417967,448.7668762207031,0.4598685801029205,0.8455129265785217,0.1276816427707672,1
43,593513046,99713116903,0.5266573429107666,1.2248005867004397,14.714850425720217,-45.9268684387207,-23.553041458129883,1,5.249908447265625,1,-49.92012786865234,-118.74433135986328,447.574462890625,0.6483002305030823,0.8530673384666443,0.1314829736948013,1,0.5366767048835754,1.3178963661193848,20.245529174804688,-73.08983612060547,-33.43952560424805,1,5.428802490234375,1,13.125093460083008,-117.518310546875,449.97747802734375,0.4609353244304657,0.847552478313446,0.1305107474327087,1
46,593562966,99713166833,0.5354541540145874,1.2372987270355225,19.570695877075195,-49.57353591918945,-24.88030433654785,1,5.231964111328125,1,-50.492095947265625,-119.94322967529295,449.6309509277344,0.6493148803710938,0.8550021648406982,0.1361705362796783,1,0.5367053747177124,1.3131259679794312,20.2613468170166,-71.69793701171875,-32.93297576904297,1,5.440963745117188,1,12.74633502960205,-118.94367980957033,451.8747863769531,0.4622145593166351,0.8502926826477051,0.1348815858364105,1
49,593612886,99713216766,0.4873456656932831,1.2741070985794067,-6.985200881958008,-60.3132438659668,-28.789249420166016,1,5.228775024414063,1,-51.6672477722168,-121.00305938720705,450.8688049316406,0.6523751020431519,0.8571570515632629,0.1393485069274902,1,0.4972974956035614,1.321214199066162,-1.49180269241333,-74.05792999267578,-33.791893005371094,1,5.438446044921875,1,11.641984939575195,-120.2588882446289,453.3414916992188,0.4655799865722656,0.8530219197273254,0.1383309960365295,1
52,593662806,99713266685,0.4796980023384094,1.2488019466400146,-11.206683158874512,-52.92991256713867,-26.10193634033203,1,5.2265625,1,-53.248138427734375,-121.07488250732422,451.4147338867188,0.6568540334701538,0.8569367527961731,0.1407863795757293,1,0.4874781370162964,1.3057948350906372,-6.912087440490723,-69.55891418457031,-32.15439224243164,1,5.4235382080078125,1,10.078753471374512,-120.18431854248048,454.2509460449219,0.4702310264110565,0.8520960211753845,0.139978215098381,1
53,593678940,99713282822,0.4762418270111084,1.2444651126861572,-13.114481925964355,-51.6645393371582,-25.641366958618164,1,5.2581329345703125,1,-53.37386703491211,-121.12848663330078,451.58251953125,0.6571664214134216,0.8569621443748474,0.1411644965410232,1,0.4885223805904388,1.3021289110183716,-6.335649013519287,-68.48933410644531,-31.765092849731445,1,5.396896362304688,1,9.93179988861084,-120.19221496582033,454.4034729003906,0.4706716239452362,0.852000892162323,0.1402708739042282,1
55,593712726,99713316613,0.4793529212474823,1.2613072395324707,-11.39718246459961,-56.57858276367188,-27.42994880676269,1,5.210372924804688,1,-54.85456085205078,-121.71854400634766,452.33544921875,0.6612634658813477,0.8581045866012573,0.1432534754276275,1,0.488151341676712,1.3065119981765747,-6.540440559387207,-69.7681655883789,-32.230567932128906,1,5.4298248291015625,1,8.533160209655762,-120.4467315673828,455.4248962402344,0.4748264253139496,0.8519551753997803,0.1423206776380539,1
56,593728906,99713332797,0.4695959687232971,1.255020260810852,-16.783018112182617,-54.74420928955078,-26.762285232543945,1,5.2446136474609375,1,-54.98304748535156,-121.76317596435548,452.3142700195313,0.6616492867469788,0.8582528233528137,0.143265813589096,1,0.4801312685012817,1.2953706979751587,-10.967546463012695,-66.51747131347656,-31.04741096496582,1,5.3983306884765625,1,8.394449234008789,-120.4588623046875,455.4283752441406,0.4752322137355804,0.8519879579544067,0.1423286199569702,1
58,593762646,99713366540,0.4033548235893249,1.2685329914093018,-53.34814453125,-58.686859130859375,-28.1972770690918,1,5.203948974609375,1,-55.91988754272461,-121.8160171508789,451.6770324707031,0.6646395921707153,0.858914315700531,0.1422915011644363,1,0.4064762592315674,1.3331506252288818,-51.62510681152344,-77.54069519042969,-35.05949020385742,1,5.396484375,1,7.342421531677246,-120.14295959472656,455.06158447265625,0.4782909452915191,0.8513473868370056,0.1414229124784469,1
61,593812566,99713416457,0.4056982696056366,1.2809468507766724,-52.05456161499024,-62.30892562866211,-29.515596389770508,1,5.1763458251953125,1,-55.62646865844727,-122.2410888671875,453.3430786132813,0.6631718873977661,0.8588431477546692,0.1456366032361984,1,0.4255076944828033,1.2992271184921265,-41.119747161865234,-67.64262390136719,-31.45692253112793,1,5.372802734375,1,7.666694164276123,-120.26605224609376,456.1795654296875,0.4773969948291778,0.8508450984954834,0.143657773733139,1
62,593828838,99713432729,0.4023008346557617,1.2712180614471436,-53.92993927001953,-59.47032165527344,-28.482431411743164,1,5.214935302734375,1,-55.53291320800781,-122.24177551269533,453.3846740722656,0.6628821492195129,0.858812153339386,0.1456947028636932,1,0.4224164485931396,1.296478271484375,-42.82613754272461,-66.84056854248047,-31.165000915527344,1,5.36480712890625,1,7.773045063018799,-120.3030014038086,456.3635864257813,0.4770956933498382,0.8508113622665405,0.1440358906984329,1
