date,type,subType,value
20240221-231302,slowHeadTilting,forward,1
20240221-231302,slowHeadTilting,forward,-1
20240221-231312,slowHeadTilting,forward,1
20240221-231313,slowHeadTilting,forward,-1
20240221-231314,slowHeadTilting,forward,1
20240221-231314,slowHeadTilting,forward,-1
20240221-231320,slowHeadTilting,forward,1
20240221-231321,slowHeadTilting,forward,-1
20240221-231329,slowHeadTilting,left,1
20240221-231330,slowHeadTilting,forward,1
20240221-231331,slowHeadTilting,left,-1
20240221-231332,slowHeadTilting,forward,-1
20240221-231334,slowHeadTilting,forward,1
20240221-231336,slowHeadTilting,forward,-1
20240221-231338,slowHeadTilting,forward,1
20240221-231338,slowHeadTilting,forward,-1
20240221-231339,slowHeadTilting,forward,1
20240221-231339,slowHeadTilting,forward,-1
20240221-231339,slowHeadTilting,forward,1
20240221-231340,slowHeadTilting,forward,-1
20240221-231340,slowHeadTilting,forward,1
20240221-231342,slowHeadTilting,forward,-1
20240221-231344,slowHeadTilting,backward,1
20240221-231348,slowHeadTilting,backward,-1

