id,date,stepCount,blinkCountRaw,eyeMoveUpCount,eyeMoveDownCount,eyeMoveRightCount,eyeMoveLeftCount,isStill,xMean,xSD,yMean,ySD,pitchOnewayCount,pitchRoundCount,yawOnewayCount,yawRoundCount,xRightStepAmplitude,xLeftStepAmplitude,yRightStepAmplitude,yLeftStepAmplitude,zRightStepAmplitude,zLeftStepAmplitude,zRightStepAmplitudeCal,zLeftStepAmplitudeCal,maxRightStepAcceleration,maxLeftStepAcceleration,stepCadence,blinkCount,blinkIntervalCount,blinkIntervalMean,blinkIntervalTotal,blinkStrengthMean,blinkStrengthSD,blinkStrengthTotal,blinkStrengthMax,blinkWidthMean,nptMean,nptSD,nptMedian,noiseTime,isValid,sleepScore,focusScore,tensionScore,calmScore,sleepScoreStandard
0,2024-02-21T21:41:08+0900,2,6,5,8,9,15,false,-1.1897666,8.951315,5.677641,7.2445264,2,0,2,0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,4,2,2.3333333,5.0,83.2,42.827095,382.0,211.0,138.0,0.018599998,0.036193702,0.01995,0.45,true,49,29,59,0,63
1,2024-02-21T21:41:23+0900,3,3,6,2,7,5,false,-5.2868195,3.6390426,14.033424,5.2336855,1,0,4,0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,NaN,NaN,NaN,1,1,5.5833335,11.75,58.4,11.740528,43.0,43.0,132.0,0.026369998,0.027100924,0.0236,1.5,true,49,70,27,74,61

